card_id	level_requirements	quest	hitpoints	unique_drops	notes	slayer_requirement	attack_styles	equipment_slot	weapon_type	attack_speed	max_hit	aggression	hazards
item.adamant_bolts.9143	46 Ranged							Ammo					
item.adamant_bolts_unf.9380													
item.adamant_boots.4129	30 Defence							Feet					
item.adamant_brutal.4798	30 Ranged							Ammo					
item.adamant_cane.12377	30 Attack							Weapon	Spiked	5			
item.adamant_claws.3100	30 Attack							2H	Claw	4			
item.adamant_crossbow.9183	46 Ranged							Weapon	Crossbow	6			
item.adamant_crossbow_u.9463		No											
item.adamant_dart.810	30 Ranged							Weapon	Thrown	3			
item.adamant_dart_tip.823													
item.adamant_defender.8849	30 Attack, 30 Defence							Shield					
item.adamant_dragon_mask.23270								Head					
item.adamant_felling_axe.28211								2H	Axe	7			
item.adamant_fire_arrow.2538	30 Ranged							Ammo					
item.adamant_gloves.7459								Hands					
item.adamant_gold_trimmed_set_lg.13020													
item.adamant_gold_trimmed_set_sk.13022													
item.adamant_halberd.3200	30 Attack, 15 Strength							2H	Polearm	7			
item.adamant_hasta.11375	30 Attack							Weapon	Spear	4			
item.adamant_heraldic_helm.22159	30 Defence							Head					
item.adamant_javelin.829	30 Ranged							Ammo					
item.adamant_javelin_tips.19578													
item.adamant_knife.867	30 Ranged							Weapon	Thrown	3			
item.adamant_med_helm.1145	30 Defence							Head					
item.adamant_pickaxe.1271	30 Attack, 31 Mining							Weapon	Pickaxe	5			
item.adamant_plateskirt.1091	30 Defence							Legs					
item.adamant_seeds.29458													
item.adamant_set_lg.13012													
item.adamant_set_sk.13014													
item.adamant_spear.1245	30 Attack							2H	Spear	4			
item.adamant_thrownaxe.804	30 Ranged							Weapon	Thrown	5			
item.adamant_trimmed_set_lg.13016													
item.adamant_trimmed_set_sk.13018													
item.adamant_warhammer.1345	30 Attack							Weapon	Blunt	6			
item.adamantite_limbs.9429													
item.adamantite_nails.4823													
item.adamantite_ore_fragment.21537													
item.admiral_pie.7198													
item.adventurer_s_boots_t1.27394								Feet					
item.adventurer_s_boots_t2.27402								Feet					
item.adventurer_s_boots_t3.27410								Feet					
item.adventurer_s_cape.27442								Cape					
item.adventurer_s_hood_t1.27392								Head					
item.adventurer_s_hood_t2.27400								Head					
item.adventurer_s_hood_t3.27408								Head					
item.adventurer_s_top_t1.27388								Body					
item.adventurer_s_top_t2.27396								Body					
item.adventurer_s_top_t3.27404								Body					
item.adventurer_s_trousers_t1.27390								Legs					
item.adventurer_s_trousers_t2.27398								Legs					
item.adventurer_s_trousers_t3.27406								Legs					
item.adventurer_s_vambraces.27412								Hands					
item.afro.12430								Head					
item.agility_cape.9771	99 Agility							Cape					
item.agility_hood.9773	99 Agility							Head					
item.ahrim_s_armour_set.12881													
item.ahrim_s_hood.4708	70 Defence, 70 Magic							Head					
item.ahrim_s_robeskirt.4714	70 Defence, 70 Magic							Legs					
item.ahrim_s_robetop.4712	70 Defence, 70 Magic							Body					
item.ahrim_s_staff.4710	70 Attack, 70 Magic							Weapon	Staff	6			
item.air_battlestaff.1397	1 Magic							Weapon	Staff	5			
item.air_orb.573													
item.air_talisman.1438													
item.air_tiara.5527								Head					
item.airtight_pot.4436													
item.alchemist_gloves.29986								Hands					
item.alchemist_labcoat.29978								Body					
item.alchemist_pants.29982								Legs					
item.alchemist_s_amulet.29988								Neck					
item.aldarin_teleport.30149													
item.aldarium.29993													
item.ale_of_the_gods.20056								Weapon	Unarmed	4			
item.ale_yeast.5767													
item.amethyst.21347													
item.amethyst_arrow.21326	50 Ranged							Ammo					
item.amethyst_arrowtips.21350													
item.amethyst_bolt_tips.21338													
item.amethyst_broad_bolts.21316	61 Ranged, 65 Slayer							Ammo					
item.amethyst_dart.25849								Weapon	Thrown	3			
item.amethyst_dart_tip.25853													
item.amethyst_fire_arrow.21328	50 Ranged							Ammo					
item.amethyst_javelin.21318	65 Ranged							Ammo					
item.amethyst_javelin_tips.21352													
item.ammo_mould.4													
item.amulet_mould.1595													
item.amulet_of_avarice.22557								Neck					
item.amulet_of_blood_fury.24780								Neck					
item.amulet_of_bounty.21160								Neck					
item.amulet_of_chemistry.21163								Neck					
item.amulet_of_eternal_glory.19707								Neck					
item.amulet_of_fury.6585								Neck					
item.amulet_of_glory.1704								Neck					
item.amulet_of_nature.6040								Neck					
item.amulet_of_power.1731								Neck					
item.amulet_of_rancour.29801								Neck					
item.amulet_of_rancour_s.29804								Neck					
item.amulet_of_the_damned.12853								Neck					
item.amulet_of_the_eye.26914								Neck					
item.amulet_of_torture.19553	75 Hitpoints							Neck					
item.amy_s_saw.24880								Weapon	Slash Sword	5			
item.amy_s_saw_off_hand.29774								Shield					
item.amylase_crystal.12640													
item.ana_in_a_barrel.1842													
item.ancestral_hat.21018	65 Defence, 75 Magic							Head					
item.ancestral_robe_bottom.21024	65 Defence, 75 Magic							Legs					
item.ancestral_robe_top.21021	65 Defence, 75 Magic							Body					
item.ancestral_robes_set.21049													
item.anchovy_oil.11264													
item.anchovy_pizza.2297													
item.ancient_blessing.20235								Ammo					
item.ancient_bracers.12490	40 Defence, 70 Ranged							Hands					
item.ancient_ceremonial_boots.26229								Feet					
item.ancient_ceremonial_gloves.26227								Hands					
item.ancient_ceremonial_legs.26223								Legs					
item.ancient_ceremonial_mask.26225								Head					
item.ancient_ceremonial_top.26221								Body					
item.ancient_chaps.12494	40 Defence, 70 Ranged							Legs					
item.ancient_cloak.12197	40 Prayer							Cape					
item.ancient_coif.12496	40 Defence, 70 Ranged							Head					
item.ancient_crozier.12199	60 Prayer							Weapon	Staff	5			
item.ancient_crystal.21804													
item.ancient_d_hide_body.12492	40 Defence, 70 Ranged							Body					
item.ancient_d_hide_boots.19921	40 Defence, 70 Ranged							Feet					
item.ancient_d_hide_shield.23197	40 Defence, 70 Ranged							Shield					
item.ancient_dragonhide_set.13171													
item.ancient_effigy.22302													
item.ancient_emblem.21807													
item.ancient_essence.27616													
item.ancient_full_helm.12466	40 Defence							Head					
item.ancient_godsword.26233								2H	2H Sword	6			
item.ancient_halo.24201								Head					
item.ancient_hilt.26370													
item.ancient_kiteshield.12468	40 Defence							Shield					
item.ancient_lamp.28409													
item.ancient_mace.11061	15 Attack, 25 Prayer							Weapon	Spiked	5			
item.ancient_magicks_tablet.20430													
item.ancient_medallion.22299													
item.ancient_mitre.12203	40 Magic, 40 Prayer							Head					
item.ancient_page_1.12621													
item.ancient_page_2.12622													
item.ancient_page_3.12623													
item.ancient_page_4.12624													
item.ancient_platebody.12460	40 Defence							Body					
item.ancient_platelegs.12462	40 Defence							Legs					
item.ancient_plateskirt.12464	40 Defence							Legs					
item.ancient_relic.22305													
item.ancient_robe_legs.12195	20 Prayer							Legs					
item.ancient_robe_top.12193	20 Prayer							Body					
item.ancient_rune_armour_set_lg.13060													
item.ancient_rune_armour_set_sk.13062													
item.ancient_sceptre.27624								Weapon	Staff	4			
item.ancient_staff.4675	50 Attack, 50 Magic							Weapon	Staff	4			
item.ancient_statuette.21813													
item.ancient_stole.12201	60 Prayer							Neck					
item.ancient_totem.21810													
item.ancient_wyvern_shield.21633	75 Defence, 70 Magic							Shield					
item.anger_battleaxe.7807								Weapon	Axe	6			
item.anger_mace.7808								Weapon	Spiked	5			
item.anger_spear.7809								2H	Spear	5			
item.anger_sword.7806								Weapon	Stab Sword	4			
item.angler_boots.13261								Feet					
item.angler_hat.13258								Head					
item.angler_top.13259								Body					
item.angler_waders.13260								Legs					
item.anglerfish.13441													
item.anguish_ornament_kit.22246													
item.anima_infused_bark.28134													
item.animals_bones.6904													
item.ankou_gloves.20101								Hands					
item.ankou_mask.20095								Head					
item.ankou_s_leggings.20104								Legs					
item.ankou_socks.20107								Feet					
item.ankou_top.20098								Body					
item.annakarl_teleport.12775													
item.anti_dragon_shield.1540								Shield					
item.anti_venom_4.12905													
item.anti_venom_4.12913													
item.antidote_4.5943													
item.antidote_4.5952													
item.antidote_unf.5942													
item.antidote_unf.5951													
item.antique_lamp.4447													
item.ape_atoll_teleport.19631													
item.apple_barrel.6094													
item.apple_mush.5992													
item.apple_pie.2323													
item.apple_sapling.5496													
item.apple_seedling.5480													
item.apple_seedling_w.5488													
item.apple_tree_seed.5283													
item.apples_1.5378													
item.apprentice_wand.6910	50 Magic							Weapon	Staff	4			
item.aranea_boots.29806								Feet					
item.araxyte_slayer_helmet.29816								Head					
item.araxyte_slayer_helmet_i.29818								Head					
item.araxyte_venom_sac.29784													
item.arcane_prayer_scroll.21079													
item.arcane_sigil.12827													
item.arcane_spirit_shield.12825	75 Defence, 65 Magic, 70 Prayer							Shield					
item.arceuus_banner.20251								Weapon	Polestaff	5			
item.arceuus_hood.20113								Head					
item.arceuus_library_teleport.19613													
item.arceuus_scarf.19943								Neck					
item.archer_helm.3749	45 Defence							Head					
item.archer_icon.28298													
item.archers_ring.6733								Ring					
item.archers_ring_i.11771								Ring					
item.archery_ticket.1464													
item.arclight.19675	75 Attack							Weapon	Slash Sword	4			
item.arctic_pine_logs.10810													
item.arctic_pyre_logs.10808													
item.ardougne_cloak_1.13121								Cape					
item.ardougne_cloak_2.13122								Cape					
item.ardougne_cloak_3.13123								Cape					
item.ardougne_cloak_4.13124								Cape					
item.ardougne_knight_helm.23785								Head					
item.ardougne_knight_platebody.23787								Body					
item.ardougne_knight_platelegs.23789								Legs					
item.ardougne_max_cape.20760	99 Attack, 99 Strength, 99 Defence, 99 Ranged, 99 Magic, 99 Prayer, 99 Hitpoints, 99 Runecraft, 99 Construction, 99 Agility, 99 Herblore, 99 Thieving, 99 Crafting, 99 Fletching, 99 Slayer, 99 Hunter, 99 Mining, 99 Smithing, 99 Fishing, 99 Cooking, 99 Firemaking, 99 Woodcutting, 99 Farming							Cape					
item.ardougne_max_hood.20764	99 Attack, 99 Strength, 99 Defence, 99 Ranged, 99 Magic, 99 Prayer, 99 Hitpoints, 99 Runecraft, 99 Construction, 99 Agility, 99 Herblore, 99 Thieving, 99 Crafting, 99 Fletching, 99 Slayer, 99 Hunter, 99 Mining, 99 Smithing, 99 Fishing, 99 Cooking, 99 Firemaking, 99 Woodcutting, 99 Farming							Head					
item.ardougne_teleport.8011													
item.arena_book.6891													
item.armadyl_bracers.12506	40 Defence, 70 Ranged							Hands					
item.armadyl_chainskirt.11830	70 Defence, 70 Ranged							Legs					
item.armadyl_chaps.12510	40 Defence, 70 Ranged							Legs					
item.armadyl_chestplate.11828	70 Defence, 70 Ranged							Body					
item.armadyl_cloak.12261	40 Prayer							Cape					
item.armadyl_coif.12512	40 Defence, 70 Ranged							Head					
item.armadyl_crossbow.11785	70 Ranged							Weapon	Crossbow	6			
item.armadyl_crozier.12263	60 Prayer							Weapon	Staff	5			
item.armadyl_d_hide_body.12508	40 Defence, 70 Ranged							Body					
item.armadyl_d_hide_boots.19930	40 Defence, 70 Ranged							Feet					
item.armadyl_d_hide_shield.23200	40 Defence, 70 Ranged							Shield					
item.armadyl_dragonhide_set.13169													
item.armadyl_full_helm.12476	40 Defence							Head					
item.armadyl_godsword.11802	75 Attack							2H	2H Sword	6			
item.armadyl_godsword_ornament_kit.20068													
item.armadyl_halo.24192								Head					
item.armadyl_helmet.11826	70 Defence, 70 Ranged							Head					
item.armadyl_hilt.11810													
item.armadyl_kiteshield.12478	40 Defence							Shield					
item.armadyl_mitre.12259	40 Magic, 40 Prayer							Head					
item.armadyl_page_1.12617													
item.armadyl_page_2.12618													
item.armadyl_page_3.12619													
item.armadyl_page_4.12620													
item.armadyl_pendant.87								Neck					
item.armadyl_platebody.12470	40 Defence							Body					
item.armadyl_platelegs.12472	40 Defence							Legs					
item.armadyl_plateskirt.12474	40 Defence							Legs					
item.armadyl_robe_legs.12255	20 Prayer							Legs					
item.armadyl_robe_top.12253	20 Prayer							Body					
item.armadyl_rune_armour_set_lg.13052													
item.armadyl_rune_armour_set_sk.13054													
item.armadyl_stole.12257	60 Prayer							Neck					
item.armadylean_plate.27269													
item.arrav_s_axe.30320													
item.arrow_shaft.52													
item.asgarnian_ale.1905													
item.asgarnian_ale_m.5739													
item.asgarnian_hops.5996													
item.asgarnian_seed.5308													
item.asgoldian_ale.7508													
item.ash_sanctifier.25781													
item.ashes.592													
item.assembler_max_cape.21898	99 Attack, 99 Strength, 99 Defence, 99 Ranged, 99 Magic, 99 Prayer, 99 Hitpoints, 99 Runecraft, 99 Construction, 99 Agility, 99 Herblore, 99 Thieving, 99 Crafting, 99 Fletching, 99 Slayer, 99 Hunter, 99 Mining, 99 Smithing, 99 Fishing, 99 Cooking, 99 Firemaking, 99 Woodcutting, 99 Farming							Cape					
item.assembler_max_hood.21900	99 Attack, 99 Strength, 99 Defence, 99 Ranged, 99 Magic, 99 Prayer, 99 Hitpoints, 99 Runecraft, 99 Construction, 99 Agility, 99 Herblore, 99 Thieving, 99 Crafting, 99 Fletching, 99 Slayer, 99 Hunter, 99 Mining, 99 Smithing, 99 Fishing, 99 Cooking, 99 Firemaking, 99 Woodcutting, 99 Farming							Head					
item.assorted_flowers.2460								Weapon	Blunt	4			
item.astral_rune.9075													
item.asyn_remains.3402													
item.atlatl_dart.28991								2H, Ammo	Thrown	4			
item.attack_cape.9747	99 Attack							Cape					
item.attack_hood.9749	99 Attack							Head					
item.attacker_icon.10556													
item.attas_seed.22881													
item.autumn_sq_irkjuice.10850													
item.ava_s_accumulator.10499	50 Ranged							Cape					
item.ava_s_assembler.22109	70 Ranged							Cape					
item.ava_s_attractor.10498								Cape					
item.avantoe.261													
item.avantoe_potion_unf.103													
item.avantoe_seed.5298													
item.avernic_defender.22322	70 Attack, 70 Defence							Shield					
item.avernic_defender_hilt.22477													
item.awakener_s_orb.28334													
item.axeman_s_folly.5751													
item.axeman_s_folly_m.5753													
item.baby_dragon_bone.7839													
item.baby_dragon_bonemeal.4260													
item.baby_impling_jar.11238													
item.babydragon_bones.534													
item.bag_of_salt.4161													
item.bagged_bluebells.8455													
item.bagged_daffodils.8453													
item.bagged_dead_tree.8417													
item.bagged_flower.8451													
item.bagged_magic_tree.8429													
item.bagged_maple_tree.8425													
item.bagged_marigolds.8459													
item.bagged_nice_tree.8419													
item.bagged_oak_tree.8421													
item.bagged_plant_1.8431													
item.bagged_plant_2.8433													
item.bagged_plant_3.8435													
item.bagged_roses.8461													
item.bagged_sunflower.8457													
item.bagged_willow_tree.8423													
item.bagged_yew_tree.8427													
item.baguette.6961													
item.bailing_bucket.583													
item.baked_potato.6701													
item.ball_of_wool.1759													
item.ballista_limbs.19592													
item.ballista_spring.19601													
item.balloon_toad.7564													
item.banana.1963													
item.banana_sapling.5497													
item.banana_seedling.5481													
item.banana_seedling_w.5489													
item.banana_stew.4016													
item.banana_tree_seed.5284													
item.bananas_1.5408													
item.bandana_eyepatch_blue.8926								Head					
item.bandana_eyepatch_brown.8927								Head					
item.bandana_eyepatch_red.8925								Head					
item.bandana_eyepatch_white.8924								Head					
item.bandit_s_brew.4627													
item.bandos_boots.11836	65 Defence							Feet					
item.bandos_bracers.12498	40 Defence, 70 Ranged							Hands					
item.bandos_chaps.12502	40 Defence, 70 Ranged							Legs					
item.bandos_chestplate.11832	65 Defence							Body					
item.bandos_cloak.12273	40 Prayer							Cape					
item.bandos_coif.12504	40 Defence, 70 Ranged							Head					
item.bandos_crozier.12275	60 Prayer							Weapon	Staff	5			
item.bandos_d_hide_body.12500	40 Defence, 70 Ranged							Body					
item.bandos_d_hide_boots.19924	40 Defence, 70 Ranged							Feet					
item.bandos_d_hide_shield.23203	40 Defence, 70 Ranged							Shield					
item.bandos_dragonhide_set.13167													
item.bandos_full_helm.12486	40 Defence							Head					
item.bandos_godsword.11804	75 Attack							2H	2H Sword	6			
item.bandos_godsword_ornament_kit.20071													
item.bandos_halo.24195								Head					
item.bandos_hilt.11812													
item.bandos_kiteshield.12488	40 Defence							Shield					
item.bandos_mitre.12271	40 Magic, 40 Prayer							Head					
item.bandos_page_1.12613													
item.bandos_page_2.12614													
item.bandos_page_3.12615													
item.bandos_page_4.12616													
item.bandos_platebody.12480	40 Defence							Body					
item.bandos_platelegs.12482	40 Defence							Legs					
item.bandos_plateskirt.12484	40 Defence							Legs					
item.bandos_robe_legs.12267	20 Prayer							Legs					
item.bandos_robe_top.12265	20 Prayer							Body					
item.bandos_rune_armour_set_lg.13056													
item.bandos_rune_armour_set_sk.13058													
item.bandos_stole.12269	60 Prayer							Neck					
item.bandos_tassets.11834	65 Defence							Legs					
item.bandosian_components.26394													
item.banner.8650								Weapon	Banner	4			
item.barb_bolttips.47													
item.barb_tail_harpoon.10129								Weapon	Stab Sword	4			
item.barbarian_teleport.24955													
item.barbed_arrow.22230								Ammo					
item.barbed_bolts.881	1 Ranged							Ammo					
item.bark.3239													
item.barley.6006													
item.barley_malt.6008													
item.barley_seed.5305													
item.barrel.1841													
item.barrelchest_anchor.10887	60 Attack, 40 Strength							2H	Spiked	6			
item.barrelchest_anchor_bh.27855								2H	Spiked	6			
item.barricade.4053													
item.barronite_mace.25641	40 Attack							Weapon	Blunt	4			
item.barrows_gloves.7462								Hands					
item.barrows_teleport.19629													
item.basalt.22603													
item.basilisk_bone.7899													
item.basilisk_jaw.24268													
item.basket.5376													
item.bass.365													
item.bat_bonemeal.4256													
item.bat_bones.530													
item.bat_shish.10964													
item.batta_tin.2164													
item.battlefront_teleport.22949													
item.battlestaff.1391								Weapon	Staff	5			
item.beach_boxing_gloves.11705								2H	Claw	4			
item.beacon_ring.11014								Ring					
item.beads_of_the_dead.616								Neck					
item.beanie.12245								Head					
item.bear_feet.23291								Feet					
item.bear_fur.948													
item.bearded_gorilla_bonemeal.4266													
item.bearded_gorilla_bones.3182													
item.bearhead.4502								Head					
item.beautiful_yellow_pansy_seed.27039													
item.bedsheet.4284								Head					
item.beekeeper_s_boots.25137								Feet					
item.beekeeper_s_gloves.25135								Hands					
item.beekeeper_s_hat.25129								Head					
item.beekeeper_s_legs.25133								Legs					
item.beekeeper_s_top.25131								Body					
item.beer.1917													
item.beer_barrel.8239													
item.beer_glass.1919													
item.beer_tankard.3803													
item.beginner_wand.6908	45 Magic							Weapon	Staff	4			
item.belladonna_seed.5281													
item.bellator_ring.25488								Ring					
item.beret_mask.11282								Head					
item.berserker_helm.3751	45 Defence							Head					
item.berserker_icon.28295													
item.berserker_necklace.11128								Neck					
item.berserker_necklace_ornament_kit.23237													
item.berserker_ring.6737								Ring					
item.berserker_ring_i.11773								Ring					
item.big_bonemeal.4257													
item.big_bones.532													
item.big_bucket_of_camel_milk.26920													
item.big_bucket_of_frozen_camel_milk.26921													
item.big_fishing_net.305													
item.big_harpoonfish.25559													
item.big_pirate_hat.12355								Head					
item.binding_necklace.5521								Neck					
item.bird_house.21512													
item.bird_mask.29931								Head					
item.bird_nest.5070													
item.bird_snare.10006													
item.black_2h_sword.1313	10 Attack							2H	2H Sword	7			
item.black_axe.1361	10 Attack							Weapon	Axe	5			
item.black_battleaxe.1367	10 Attack							Weapon	Axe	6			
item.black_bead.1474													
item.black_beret.2635								Head					
item.black_boater.7327								Head					
item.black_boots.4125	10 Defence							Feet					
item.black_brutal.4788	10 Ranged							Ammo					
item.black_candy.24986													
item.black_cane.12375	10 Attack							Weapon	Spiked	5			
item.black_cape.1019								Cape					
item.black_cavalier.2643								Head					
item.black_chainbody.1107	10 Defence							Body					
item.black_chinchompa.11959	65 Ranged							Weapon	Chinchompas	4			
item.black_claws.3098	10 Attack							2H	Claw	4			
item.black_coffin.25463								Cape					
item.black_d_hide_body.2503	40 Defence, 70 Ranged							Body					
item.black_d_hide_chaps.2497	70 Ranged							Legs					
item.black_d_hide_shield.22284	40 Defence, 70 Ranged							Shield					
item.black_d_hide_vambraces.2491	70 Ranged							Hands					
item.black_dagger.1217	10 Attack							Weapon	Stab Sword	4			
item.black_dart.3093	10 Ranged							Weapon	Thrown	3			
item.black_defender.8847	10 Attack, 10 Defence							Shield					
item.black_demon_mask.20026								Head					
item.black_desert_robe.6752								Legs					
item.black_desert_shirt.6750								Body					
item.black_dragon_leather.2509													
item.black_dragon_mask.12524								Head					
item.black_dragonhide.1747													
item.black_dragonhide_set.12871													
item.black_dye.4622													
item.black_elegant_legs.10402								Legs					
item.black_elegant_shirt.10400								Body					
item.black_felling_axe.28205								2H	Axe	5			
item.black_flowers.2476								Weapon	Blunt	4			
item.black_full_helm.1165	10 Defence							Head					
item.black_gloves.7457								Hands					
item.black_goblin_mail.9055													
item.black_gold_trimmed_set_lg.12996													
item.black_gold_trimmed_set_sk.12998													
item.black_halberd.3196	10 Attack, 5 Strength							2H	Polearm	7			
item.black_headband.2647								Head					
item.black_kiteshield.1195	10 Defence							Shield					
item.black_knife.869	10 Ranged							Weapon	Thrown	3			
item.black_leprechaun_hat.20246								Head					
item.black_locks.25448													
item.black_longsword.1297	10 Attack							Weapon	Slash Sword	5			
item.black_mace.1426	10 Attack							Weapon	Spiked	4			
item.black_mask.8921	20 Strength, 10 Defence, 40 Combat							Head					
item.black_mask_10_i.11774	20 Strength, 10 Defence, 40 Combat							Head					
item.black_med_helm.1151	10 Defence							Head					
item.black_nails.4821													
item.black_naval_shirt.8956								Body					
item.black_navy_slacks.8995								Legs					
item.black_pickaxe.12297	10 Attack							Weapon	Pickaxe	5			
item.black_platebody.1125	10 Defence							Body					
item.black_platelegs.1077	10 Defence							Legs					
item.black_plateskirt.1089	10 Defence							Legs					
item.black_robe.581								Body					
item.black_salamander.10148	70 Attack, 70 Ranged, 70 Magic							2H	Salamander	5			
item.black_satchel.10880								Shield					
item.black_scimitar.1327	10 Attack							Weapon	Slash Sword	4			
item.black_set_lg.12988													
item.black_set_sk.12990													
item.black_skirt.1015								Legs					
item.black_slayer_helmet.19639	10 Defence							Head					
item.black_slayer_helmet_i.19641	10 Defence							Head					
item.black_spear.4580	10 Attack							2H	Spear	4			
item.black_spiky_vambraces.10085	70 Ranged							Hands					
item.black_sq_shield.1179	10 Defence							Shield					
item.black_sword.1283	10 Attack							Weapon	Stab Sword	4			
item.black_tourmaline_core.21730													
item.black_toy_horsey.2524													
item.black_tricorn_hat.8963								Head					
item.black_trimmed_set_lg.12992													
item.black_trimmed_set_sk.12994													
item.black_unicorn_mask.20266								Head					
item.black_warhammer.1341	10 Attack							Weapon	Blunt	6			
item.black_warlock.10014													
item.blackbird_red.29944													
item.blacksmith_s_helm.19988								Head					
item.blackstone_fragment.28356													
item.blade_of_saeldor.23995	75 Attack							Weapon	Slash Sword	4			
item.blade_of_saeldor_c.24551	75 Attack							Weapon	Slash Sword	4			
item.blamish_bark_shell.3353													
item.blamish_blue_shell.3351													
item.blamish_myre_shell.3345													
item.blamish_ochre_shell.3349													
item.blamish_oil.1582													
item.blamish_red_shell.3347													
item.blasted_ore.13575													
item.blazing_blowpipe.28688								2H	Thrown	3			
item.bleached_bones.25422													
item.blessed_axe.10491	20 Attack							Weapon	Axe	5			
item.blessed_babydragon_bones.29352													
item.blessed_babywyrm_bones.29354													
item.blessed_bat_bones.29346													
item.blessed_big_bones.29348													
item.blessed_bone_shards.29381													
item.blessed_bone_statuette.29338													
item.blessed_bones.29344													
item.blessed_dizana_s_quiver.28955								Cape					
item.blessed_dragon_bones.29356													
item.blessed_drake_bones.29366													
item.blessed_fayrg_bones.29370													
item.blessed_hydra_bones.29368													
item.blessed_lava_dragon_bones.29358													
item.blessed_ourg_bones.29374													
item.blessed_raurg_bones.29372													
item.blessed_spirit_shield.12831	70 Defence, 50 Prayer							Shield					
item.blessed_superior_dragon_bones.29362													
item.blessed_wyrm_bones.29364													
item.blessed_wyvern_bones.29360													
item.blessed_zogre_bones.29350													
item.blighted_ancient_ice_sack.24607													
item.blighted_anglerfish.24592													
item.blighted_entangle_sack.24613													
item.blighted_karambwan.24595													
item.blighted_manta_ray.24589													
item.blighted_teleport_spell_sack.24615													
item.blighted_vengeance_sack.24621													
item.blindweed_seed.6710													
item.blisterwood_flail.24699	50 Attack							Weapon	Staff	5			
item.blisterwood_logs.24691													
item.blisterwood_sickle.24697								Weapon	Slash Sword	5			
item.bloated_toad.2875													
item.blood_ancient_sceptre.25489								Weapon	Staff	4			
