group_id	description	card_ids
set.blessed_dhide.armadyl	Unlocks the other pieces of the reviewed Armadyl blessed dragonhide set.	item.armadyl_coif.12512|item.armadyl_d_hide_body.12508|item.armadyl_chaps.12510|item.armadyl_bracers.12506|item.armadyl_d_hide_boots.19930|item.armadyl_d_hide_shield.23200
set.blessed_dhide.bandos	Unlocks the other pieces of the reviewed Bandos blessed dragonhide set.	item.bandos_coif.12504|item.bandos_d_hide_body.12500|item.bandos_chaps.12502|item.bandos_bracers.12498|item.bandos_d_hide_boots.19924|item.bandos_d_hide_shield.23203
set.blessed_dhide.ancient	Unlocks the other pieces of the reviewed Ancient blessed dragonhide set.	item.ancient_coif.12496|item.ancient_d_hide_body.12492|item.ancient_chaps.12494|item.ancient_bracers.12490|item.ancient_d_hide_boots.19921|item.ancient_d_hide_shield.23197
set.barrows.dharok	Unlocks the other pieces of the reviewed Dharok Barrows equipment set.	item.dharok_s_helm.4716|item.dharok_s_platebody.4720|item.dharok_s_platelegs.4722|item.dharok_s_greataxe.4718
set.barrows.guthan	Unlocks the other pieces of the reviewed Guthan Barrows equipment set.	item.guthan_s_helm.4724|item.guthan_s_platebody.4728|item.guthan_s_chainskirt.4730|item.guthan_s_warspear.4726
set.barrows.verac	Unlocks the other pieces of the reviewed Verac Barrows equipment set.	item.verac_s_helm.4753|item.verac_s_brassard.4757|item.verac_s_plateskirt.4759|item.verac_s_flail.4755
set.barrows.torag	Unlocks the other pieces of the reviewed Torag Barrows equipment set.	item.torag_s_helm.4745|item.torag_s_platebody.4749|item.torag_s_platelegs.4751|item.torag_s_hammers.4747
set.barrows.karil	Unlocks the other pieces of the reviewed Karil Barrows equipment set.	item.karil_s_coif.4732|item.karil_s_leathertop.4736|item.karil_s_leatherskirt.4738|item.karil_s_crossbow.4734
set.barrows.ahrim	Unlocks the other pieces of the reviewed Ahrim Barrows equipment set.	item.ahrim_s_hood.4708|item.ahrim_s_robetop.4712|item.ahrim_s_robeskirt.4714|item.ahrim_s_staff.4710
set.blood_moon	Unlocks the other pieces of the reviewed blood moon set.	item.blood_moon_helm.29028|item.blood_moon_chestplate.29022|item.blood_moon_tassets.29025|item.dual_macuahuitl.28997
set.blue_moon	Unlocks the other pieces of the reviewed blue moon set.	item.blue_moon_helm.29019|item.blue_moon_chestplate.29013|item.blue_moon_tassets.29016|item.blue_moon_spear.28988
set.eclipse_moon	Unlocks the other pieces of the reviewed eclipse moon set.	item.eclipse_moon_helm.29010|item.eclipse_moon_chestplate.29004|item.eclipse_moon_tassets.29007|item.eclipse_atlatl.29000
set.crystal_armour	Unlocks the other pieces of the reviewed crystal armour set.	item.crystal_helm.23971|item.crystal_body.23975|item.crystal_legs.23979
set.obsidian_armour	Unlocks the other pieces of the reviewed obsidian armour set.	item.obsidian_helmet.21298|item.obsidian_platebody.21301|item.obsidian_platelegs.21304
set.bloodbark	Unlocks the other pieces of the reviewed bloodbark set.	item.bloodbark_helm.25413|item.bloodbark_body.25404|item.bloodbark_legs.25416|item.bloodbark_gauntlets.25407|item.bloodbark_boots.25410
set.swampbark	Unlocks the other pieces of the reviewed swampbark set.	item.swampbark_helm.25398|item.swampbark_body.25389|item.swampbark_legs.25401|item.swampbark_gauntlets.25392|item.swampbark_boots.25395
set.skilling.graceful	Unlocks the other pieces of the reviewed graceful outfit; recolours and upgraded variants remain separate unless listed.	item.graceful_hood.11850|item.graceful_top.11854|item.graceful_legs.11856|item.graceful_gloves.11858|item.graceful_boots.11860|item.graceful_cape.11852
set.skilling.prospector	Unlocks the other pieces of the reviewed prospector outfit; recolours and upgraded variants remain separate unless listed.	item.prospector_helmet.12013|item.prospector_jacket.12014|item.prospector_legs.12015|item.prospector_boots.12016
set.skilling.golden_prospector	Unlocks the other pieces of the reviewed golden prospector outfit; recolours and upgraded variants remain separate unless listed.	item.golden_prospector_helmet.25549|item.golden_prospector_jacket.25551|item.golden_prospector_legs.25553|item.golden_prospector_boots.25555
set.skilling.angler	Unlocks the other pieces of the reviewed angler outfit; recolours and upgraded variants remain separate unless listed.	item.angler_hat.13258|item.angler_top.13259|item.angler_waders.13260|item.angler_boots.13261
set.skilling.spirit_angler	Unlocks the other pieces of the reviewed spirit angler outfit; recolours and upgraded variants remain separate unless listed.	item.spirit_angler_headband.25592|item.spirit_angler_top.25594|item.spirit_angler_waders.25596|item.spirit_angler_boots.25598
set.skilling.pyromancer	Unlocks the other pieces of the reviewed pyromancer outfit; recolours and upgraded variants remain separate unless listed.	item.pyromancer_hood.20708|item.pyromancer_garb.20704|item.pyromancer_robe.20706|item.pyromancer_boots.20710
set.skilling.rogue	Unlocks the other pieces of the reviewed rogue outfit; recolours and upgraded variants remain separate unless listed.	item.rogue_mask.5554|item.rogue_top.5553|item.rogue_trousers.5555|item.rogue_gloves.5556|item.rogue_boots.5557
set.skilling.farmer	Unlocks the other pieces of the reviewed farmer outfit; recolours and upgraded variants remain separate unless listed.	item.farmer_s_strawhat.13646|item.farmer_s_jacket.13642|item.farmer_s_shirt.13643|item.farmer_s_boro_trousers.13640|item.farmer_s_boots.13644
set.skilling.carpenter	Unlocks the other pieces of the reviewed carpenter outfit; recolours and upgraded variants remain separate unless listed.	item.carpenter_s_helmet.24872|item.carpenter_s_shirt.24874|item.carpenter_s_trousers.24876|item.carpenter_s_boots.24878
set.skilling.builder	Unlocks the other pieces of the reviewed builder outfit; recolours and upgraded variants remain separate unless listed.	item.builder_s_shirt.10863|item.builder_s_trousers.10864|item.builder_s_boots.10865
set.skilling.lumberjack	Unlocks the other pieces of the reviewed lumberjack outfit; recolours and upgraded variants remain separate unless listed.	item.lumberjack_hat.10941|item.lumberjack_top.10939|item.lumberjack_legs.10940|item.lumberjack_boots.10933
set.skilling.forestry	Unlocks the other pieces of the reviewed forestry outfit; recolours and upgraded variants remain separate unless listed.	item.forestry_hat.28173|item.forestry_top.28169|item.forestry_legs.28171|item.forestry_boots.28175
set.skilling.smiths_uniform	Unlocks the other pieces of the reviewed smiths uniform outfit; recolours and upgraded variants remain separate unless listed.	item.smiths_tunic.27023|item.smiths_trousers.27025|item.smiths_boots.27027|item.smiths_gloves.27029
set.skilling.raiments_of_the_eye	Unlocks the other pieces of the reviewed raiments of the eye outfit; recolours and upgraded variants remain separate unless listed.	item.hat_of_the_eye.26850|item.robe_top_of_the_eye.26852|item.robe_bottoms_of_the_eye.26854|item.boots_of_the_eye.26856
set.skilling.zealot	Unlocks the other pieces of the reviewed zealot outfit; recolours and upgraded variants remain separate unless listed.	item.zealot_s_helm.25438|item.zealot_s_robe_top.25434|item.zealot_s_robe_bottom.25436|item.zealot_s_boots.25440
set.skilling.void_knight	Unlocks the other pieces of the reviewed void knight outfit; recolours and upgraded variants remain separate unless listed.	item.void_knight_top.8839|item.void_knight_robe.8840|item.void_knight_gloves.8842|item.void_melee_helm.11665|item.void_ranger_helm.11664|item.void_mage_helm.11663
set.skilling.elite_void	Unlocks the other pieces of the reviewed elite void outfit; recolours and upgraded variants remain separate unless listed.	item.elite_void_top.13072|item.elite_void_robe.13073
