group_id	description	ordered_card_ids
tier.med_helm	Unlocks lower-tier med helm cards in the reviewed Bronze-to-Dragon chain.	item.bronze_med_helm|item.iron_med_helm|item.steel_med_helm.1141|item.black_med_helm.1151|item.mithril_med_helm.1143|item.adamant_med_helm.1145|item.rune_med_helm.1147|item.dragon_med_helm.1149
tier.platebody	Unlocks lower-tier platebody cards in the reviewed Bronze-to-Dragon chain.	item.bronze_platebody|item.iron_platebody|item.steel-platebody|item.black_platebody.1125|item.mithril-platebody|item.adamant-platebody|item.rune-platebody|item.dragon_platebody.21892
tier.chainbody	Unlocks lower-tier chainbody cards in the reviewed Bronze-to-Dragon chain.	item.bronze-chainbody|item.iron-chainbody|item.steel-chainbody|item.black_chainbody.1107|item.mithril-chainbody|item.adamant-chainbody|item.rune-chainbody|item.dragon_chainbody.2513
tier.platelegs	Unlocks lower-tier platelegs cards in the reviewed Bronze-to-Dragon chain.	item.bronze_platelegs|item.iron_platelegs|item.steel-platelegs|item.black_platelegs.1077|item.mithril-platelegs|item.adamant-platelegs|item.rune-platelegs|item.dragon_platelegs.4087
tier.plateskirt	Unlocks lower-tier plateskirt cards in the reviewed Bronze-to-Dragon chain.	item.bronze_plateskirt.1087|item.iron_plateskirt.1081|item.steel_plateskirt.1083|item.black_plateskirt.1089|item.mithril_plateskirt.1085|item.adamant_plateskirt.1091|item.rune_plateskirt.1093|item.dragon_plateskirt.4585
tier.kiteshield	Unlocks lower-tier kiteshield cards in the reviewed Bronze-to-Dragon chain.	item.bronze_kiteshield|item.iron_kiteshield|item.steel-kiteshield|item.black_kiteshield.1195|item.mithril-kiteshield|item.adamant-kiteshield|item.rune-kiteshield|item.dragon_kiteshield.21895
tier.sq_shield	Unlocks lower-tier sq shield cards in the reviewed Bronze-to-Dragon chain.	item.bronze_sq_shield.1173|item.iron_sq_shield.1175|item.steel-sq-shield|item.black_sq_shield.1179|item.mithril-sq-shield|item.adamant-sq-shield|item.rune-sq-shield|item.dragon_sq_shield.1187
tier.boots	Unlocks lower-tier boots cards in the reviewed Bronze-to-Dragon chain.	item.bronze_boots.4119|item.iron_boots.4121|item.steel_boots.4123|item.black_boots.4125|item.mithril_boots.4127|item.adamant_boots.4129|item.rune_boots.4131|item.dragon_boots.11840
tier.gloves	Unlocks lower-tier gloves cards in the reviewed Bronze-to-Dragon chain.	item.bronze_gloves.7454|item.iron_gloves.7455|item.steel_gloves.7456|item.black_gloves.7457|item.mithril_gloves.7458|item.adamant_gloves.7459|item.rune_gloves.7460|item.dragon_gloves.7461
tier.metal_bars	Unlocks lower-tier metal bar cards in the reviewed smithing chain.	item.bronze-bar|item.iron-bar|item.steel-bar|item.mithril-bar|item.adamantite-bar|item.runite-bar
tier.logs	Unlocks lower-tier log cards in the reviewed Woodcutting chain.	item.logs|item.oak_logs.1521|item.willow_logs.1519|item.teak_logs.6333|item.maple_logs.1517|item.mahogany_logs.6332|item.yew_logs.1515|item.magic_logs.1513|item.redwood_logs.19669
tier.essence_pouch	Unlocks lower-capacity essence pouches in the reviewed Runecraft pouch chain.	item.small_pouch.5509|item.medium_pouch.5510|item.large_pouch.5512|item.giant_pouch.5514|item.colossal_pouch.26784
tier.gem.cut	Unlocks lower-tier cut precious gems in the same resource family.	item.sapphire|item.emerald|item.ruby|item.diamond|item.dragonstone.1615|item.onyx.6573|item.zenyte.19493
tier.gem.uncut	Unlocks lower-tier uncut precious gems in the same resource family.	item.uncut-sapphire|item.uncut-emerald|item.uncut-ruby|item.uncut-diamond|item.uncut_dragonstone.1631|item.uncut_onyx.6571|item.uncut_zenyte.19496
tier.jewellery.ring	Unlocks lower-tier unenchanted gem rings while preserving the jewellery form.	item.sapphire-ring|item.emerald-ring|item.ruby-ring|item.diamond-ring|item.dragonstone_ring.1645|item.onyx_ring.6575|item.zenyte_ring.19538
tier.jewellery.necklace	Unlocks lower-tier unenchanted gem necklaces while preserving the jewellery form.	item.sapphire-necklace|item.emerald-necklace|item.ruby-necklace|item.diamond-necklace|item.dragon_necklace.1664|item.onyx_necklace.6577|item.zenyte_necklace.19535
tier.jewellery.bracelet	Unlocks lower-tier unenchanted gem bracelets while preserving the jewellery form.	item.sapphire_bracelet.11071|item.emerald_bracelet.11076|item.ruby_bracelet.11085|item.diamond_bracelet.11092|item.dragonstone_bracelet.11115|item.onyx_bracelet.11130|item.zenyte_bracelet.19492
tier.jewellery.amulet	Unlocks lower-tier unenchanted gem amulets while preserving the jewellery form.	item.sapphire_amulet.1694|item.emerald_amulet.1696|item.ruby_amulet.1698|item.diamond_amulet.1700|item.dragonstone_amulet.1702|item.onyx_amulet.6581|item.zenyte_amulet.19541
tier.staff.air	Unlocks lower air-staff upgrades in the same elemental chain.	item.staff_of_air|item.air_battlestaff.1397|item.mystic_air_staff.1405
tier.staff.water	Unlocks lower water-staff upgrades in the same elemental chain.	item.staff_of_water.1383|item.water_battlestaff.1395|item.mystic_water_staff.1403
tier.staff.earth	Unlocks lower earth-staff upgrades in the same elemental chain.	item.staff_of_earth.1385|item.earth_battlestaff.1399|item.mystic_earth_staff.1407
tier.staff.fire	Unlocks lower fire-staff upgrades in the same elemental chain.	item.staff_of_fire|item.fire_battlestaff.1393|item.mystic_fire_staff.1401
tier.dragonhide.body	Unlocks lower-colour dragonhide bodies in the same equipment slot.	item.green_d_hide_body.1135|item.blue_d_hide_body.2499|item.red_d_hide_body.2501|item.black_d_hide_body.2503
tier.dragonhide.chaps	Unlocks lower-colour dragonhide chaps in the same equipment slot.	item.green_d_hide_chaps.1099|item.blue_d_hide_chaps.2493|item.red_d_hide_chaps.2495|item.black_d_hide_chaps.2497
tier.dragonhide.vambraces	Unlocks lower-colour dragonhide vambraces in the same equipment slot.	item.green_d_hide_vambraces.1065|item.blue_d_hide_vambraces.2487|item.red_d_hide_vambraces.2489|item.black_d_hide_vambraces.2491
