source_card_id	reward_kind	rule_id	description	target_card_ids
npc.amoxliatl.13685	SOURCE_UNIQUES	source.amoxliatl	Unlocks reviewed direct unique drops received from Amoxliatl; shared drops and completed component products are excluded.	item.glacial_temotli.29889|item.pendant_of_ates_inert.29892
npc.vorkath.8060	SOURCE_UNIQUES	source.vorkath	Unlocks reviewed direct unique drops received from Vorkath; shared drops and completed component products are excluded.	item.skeletal_visage.22006|item.dragonbone_necklace.22111|item.jar_of_decay.22106
npc.the_hueycoatl.14009	SOURCE_UNIQUES	source.the_hueycoatl	Unlocks reviewed direct unique drops received from The Hueycoatl; shared drops and completed component products are excluded.	item.dragon_hunter_wand.30070|item.hueycoatl_hide.30085|item.tome_of_earth.30064
npc.yama.14176	SOURCE_UNIQUES	source.yama	Unlocks reviewed direct unique drops received from Yama; shared drops and completed component products are excluded.	item.oathplate_helm.30750|item.oathplate_chest.30753|item.oathplate_legs.30756|item.soulflame_horn.30759
npc.doom_of_mokhaiotl.14707	SOURCE_UNIQUES	source.doom_of_mokhaiotl	Unlocks reviewed direct unique drops received from Doom of Mokhaiotl; shared drops and completed component products are excluded.	item.eye_of_ayak.31113|item.avernic_treads.31088
npc.nex.11278	SOURCE_UNIQUES	source.nex	Unlocks reviewed direct unique drops received from Nex; shared drops and completed component products are excluded.	item.torva_full_helm.26382|item.torva_platebody.26384|item.torva_platelegs.26386|item.zaryte_vambraces.26235|item.nihil_horn.26372|item.ancient_hilt.26370
npc.abyssal_sire.5886	SOURCE_UNIQUES	source.abyssal_sire	Unlocks the reviewed source-exclusive reward received through the Abyssal Sire's unique reward roll; shared drops and completed component products are excluded.	item.jar_of_miasma.13277
npc.giant_mole.5779	SOURCE_UNIQUES	source.giant_mole	Unlocks reviewed direct source-exclusive drops received from the Giant Mole.	item.mole_claw.7416|item.mole_skin.7418
npc.kalphite_queen.963	SOURCE_UNIQUES	source.kalphite_queen	Unlocks the reviewed source-exclusive drop received from the Kalphite Queen; shared drops are excluded.	item.jar_of_sand.12885
npc.skotizo.7286	SOURCE_UNIQUES	source.skotizo	Unlocks the reviewed source-exclusive drop received from Skotizo; shared drops are excluded.	item.jar_of_darkness.19701
npc.dusk.7851	SOURCE_UNIQUES	source.grotesque_guardians	Unlocks reviewed source-exclusive drops received from the Grotesque Guardians encounter; completed component products are excluded.	item.black_tourmaline_core.21730|item.granite_gloves.21736|item.granite_ring.21739|item.granite_hammer.21742|item.jar_of_stone.21745
npc.sarachnis.8713	SOURCE_UNIQUES	source.sarachnis	Unlocks reviewed direct source-exclusive drops received from Sarachnis.	item.sarachnis_cudgel.23528|item.jar_of_eyes.23525
npc.crazy_archaeologist.6618	SOURCE_UNIQUES	source.crazy_archaeologist	Unlocks reviewed direct source-exclusive drops received from the Crazy archaeologist; completed component products are excluded.	item.odium_shard_2.11929|item.malediction_shard_2.11932|item.fedora.11990
npc.chaos_fanatic.6619	SOURCE_UNIQUES	source.chaos_fanatic	Unlocks reviewed direct source-exclusive drops received from the Chaos Fanatic; completed component products are excluded.	item.odium_shard_1.11928|item.malediction_shard_1.11931
npc.scorpia.6615	SOURCE_UNIQUES	source.scorpia	Unlocks reviewed direct source-exclusive drops received from Scorpia; completed component products are excluded.	item.odium_shard_3.11930|item.malediction_shard_3.11933
npc.obor.7416	SOURCE_UNIQUES	source.obor	Unlocks the reviewed source-exclusive reward received from Obor's lair chest.	item.hill_giant_club.20756
npc.bryophyta.8195	SOURCE_UNIQUES	source.bryophyta	Unlocks the reviewed source-exclusive component received from Bryophyta's lair chest; the completed staff is excluded.	item.bryophyta_s_essence.22372
npc.banshee.414	NPC_REQUIRED_TOOL	tool.banshee	Unlocks the reviewed tool specifically required to fight, expose, or finish Banshee.	item.earmuffs.4166
npc.cockatrice.419	NPC_REQUIRED_TOOL	tool.cockatrice	Unlocks the reviewed tool specifically required to fight, expose, or finish Cockatrice.	item.mirror_shield.4156
npc.basilisk.417	NPC_REQUIRED_TOOL	tool.basilisk	Unlocks the reviewed tool specifically required to fight, expose, or finish Basilisk.	item.mirror_shield.4156
npc.dust_devil.423	NPC_REQUIRED_TOOL	tool.dust_devil	Unlocks the reviewed tool specifically required to fight, expose, or finish Dust devil.	item.facemask.4164
npc.cave_horror.1047	NPC_REQUIRED_TOOL	tool.cave_horror	Unlocks the reviewed tool specifically required to fight, expose, or finish Cave horror.	item.witchwood_icon.8923
npc.aberrant_spectre.2	NPC_REQUIRED_TOOL	tool.aberrant_spectre	Unlocks the reviewed tool specifically required to fight, expose, or finish Aberrant spectre.	item.nose_peg.4168
npc.desert_lizard.459	NPC_REQUIRED_TOOL	tool.desert_lizard	Unlocks the reviewed tool specifically required to fight, expose, or finish Desert Lizard.	item.ice_cooler.6696
npc.mogre.2592	NPC_REQUIRED_TOOL	tool.mogre	Unlocks the reviewed tool specifically required to fight, expose, or finish Mogre.	item.fishing_explosive.6660
npc.harpie_bug_swarm.464	NPC_REQUIRED_TOOL	tool.harpie_bug_swarm	Unlocks the reviewed tool specifically required to fight, expose, or finish Harpie Bug Swarm.	item.lit_bug_lantern.7053
npc.gargoyle.412	NPC_REQUIRED_TOOL	tool.gargoyle	Unlocks the reviewed tool specifically required to fight, expose, or finish Gargoyle.	item.rock_hammer.4162
npc.warped_terrorbird.12491	NPC_REQUIRED_TOOL	tool.warped_terrorbird	Unlocks the reviewed tool specifically required to fight, expose, or finish Warped Terrorbird.	item.crystal_chime.28577
npc.warped_tortoise.12490	NPC_REQUIRED_TOOL	tool.warped_tortoise	Unlocks the reviewed tool specifically required to fight, expose, or finish Warped Tortoise.	item.crystal_chime.28577
npc.tztok_jad.3127	ACHIEVEMENT_REWARD	achievement.tztok_jad	Permits use of the signature completion reward earned by defeating TzTok-Jad; it does not award the item.	item.fire_cape.6570
npc.tzkal_zuk.7706	ACHIEVEMENT_REWARD	achievement.tzkal_zuk	Permits use of the signature completion reward earned by defeating TzKal-Zuk; it does not award the item.	item.infernal_cape.21295
npc.sol_heredit.12821	ACHIEVEMENT_REWARD	achievement.sol_heredit	Permits use of the signature completion reward earned by defeating Sol Heredit; it does not award the item.	item.dizana_s_quiver.28951
npc.dharok_the_wretched.1673	SOURCE_EQUIPMENT_SET	encounter_set.dharok_the_wretched	Unlocks the reviewed equipment set specifically associated with Dharok the Wretched.	item.dharok_s_helm.4716|item.dharok_s_platebody.4720|item.dharok_s_platelegs.4722|item.dharok_s_greataxe.4718
npc.guthan_the_infested.1674	SOURCE_EQUIPMENT_SET	encounter_set.guthan_the_infested	Unlocks the reviewed equipment set specifically associated with Guthan the Infested.	item.guthan_s_helm.4724|item.guthan_s_platebody.4728|item.guthan_s_chainskirt.4730|item.guthan_s_warspear.4726
npc.verac_the_defiled.1677	SOURCE_EQUIPMENT_SET	encounter_set.verac_the_defiled	Unlocks the reviewed equipment set specifically associated with Verac the Defiled.	item.verac_s_helm.4753|item.verac_s_brassard.4757|item.verac_s_plateskirt.4759|item.verac_s_flail.4755
npc.torag_the_corrupted.1676	SOURCE_EQUIPMENT_SET	encounter_set.torag_the_corrupted	Unlocks the reviewed equipment set specifically associated with Torag the Corrupted.	item.torag_s_helm.4745|item.torag_s_platebody.4749|item.torag_s_platelegs.4751|item.torag_s_hammers.4747
npc.karil_the_tainted.1675	SOURCE_EQUIPMENT_SET	encounter_set.karil_the_tainted	Unlocks the reviewed equipment set specifically associated with Karil the Tainted.	item.karil_s_coif.4732|item.karil_s_leathertop.4736|item.karil_s_leatherskirt.4738|item.karil_s_crossbow.4734
npc.ahrim_the_blighted.1672	SOURCE_EQUIPMENT_SET	encounter_set.ahrim_the_blighted	Unlocks the reviewed equipment set specifically associated with Ahrim the Blighted.	item.ahrim_s_hood.4708|item.ahrim_s_robetop.4712|item.ahrim_s_robeskirt.4714|item.ahrim_s_staff.4710
npc.blood_moon.13011	SOURCE_EQUIPMENT_SET	encounter_set.blood_moon	Unlocks the reviewed equipment set specifically associated with Blood Moon.	item.blood_moon_helm.29028|item.blood_moon_chestplate.29022|item.blood_moon_tassets.29025|item.dual_macuahuitl.28997
npc.blue_moon.13013	SOURCE_EQUIPMENT_SET	encounter_set.blue_moon	Unlocks the reviewed equipment set specifically associated with Blue Moon.	item.blue_moon_helm.29019|item.blue_moon_chestplate.29013|item.blue_moon_tassets.29016|item.blue_moon_spear.28988
npc.eclipse_moon.13012	SOURCE_EQUIPMENT_SET	encounter_set.eclipse_moon	Unlocks the reviewed equipment set specifically associated with Eclipse Moon.	item.eclipse_moon_helm.29010|item.eclipse_moon_chestplate.29004|item.eclipse_moon_tassets.29007|item.eclipse_atlatl.29000
item.attack_potion.125	RECIPE_COMPONENTS	recipe.potion.attack_potion	Unlocks the direct herb and secondary ingredient used to make Attack potion; generic containers and composite potion chains are excluded.	item.guam_leaf.249|item.eye_of_newt.221
item.antipoison.179	RECIPE_COMPONENTS	recipe.potion.antipoison	Unlocks the direct herb and secondary ingredient used to make Antipoison; generic containers and composite potion chains are excluded.	item.marrentill.251|item.unicorn_horn_dust.235
item.strength_potion.119	RECIPE_COMPONENTS	recipe.potion.strength_potion	Unlocks the direct herb and secondary ingredient used to make Strength potion; generic containers and composite potion chains are excluded.	item.tarromin.253|item.limpwurt_root.225
item.energy_potion.3014	RECIPE_COMPONENTS	recipe.potion.energy_potion	Unlocks the direct herb and secondary ingredient used to make Energy potion; generic containers and composite potion chains are excluded.	item.harralander.255|item.chocolate_dust.1975
item.defence_potion.137	RECIPE_COMPONENTS	recipe.potion.defence_potion	Unlocks the direct herb and secondary ingredient used to make Defence potion; generic containers and composite potion chains are excluded.	item.ranarr_weed.257|item.white_berries.239
item.agility_potion.3038	RECIPE_COMPONENTS	recipe.potion.agility_potion	Unlocks the direct herb and secondary ingredient used to make Agility potion; generic containers and composite potion chains are excluded.	item.toadflax.2998|item.toad_s_legs.2152
item.combat_potion.9745	RECIPE_COMPONENTS	recipe.potion.combat_potion	Unlocks the direct herb and secondary ingredient used to make Combat potion; generic containers and composite potion chains are excluded.	item.harralander.255|item.goat_horn_dust.9736
item.prayer_potion.143	RECIPE_COMPONENTS	recipe.potion.prayer_potion	Unlocks the direct herb and secondary ingredient used to make Prayer potion; generic containers and composite potion chains are excluded.	item.ranarr_weed.257|item.snape_grass.231
item.super_attack_4.2436	RECIPE_COMPONENTS	recipe.potion.super_attack_4	Unlocks the direct herb and secondary ingredient used to make Super attack(4); generic containers and composite potion chains are excluded.	item.irit_leaf.259|item.eye_of_newt.221
item.superantipoison.185	RECIPE_COMPONENTS	recipe.potion.superantipoison	Unlocks the direct herb and secondary ingredient used to make Superantipoison; generic containers and composite potion chains are excluded.	item.irit_leaf.259|item.unicorn_horn_dust.235
item.fishing_potion.155	RECIPE_COMPONENTS	recipe.potion.fishing_potion	Unlocks the direct herb and secondary ingredient used to make Fishing potion; generic containers and composite potion chains are excluded.	item.avantoe.261|item.snape_grass.231
item.super_energy.3022	RECIPE_COMPONENTS	recipe.potion.super_energy	Unlocks the direct herb and secondary ingredient used to make Super energy; generic containers and composite potion chains are excluded.	item.avantoe.261|item.mort_myre_fungus.2970
item.hunter_potion.10004	RECIPE_COMPONENTS	recipe.potion.hunter_potion	Unlocks the direct herb and secondary ingredient used to make Hunter potion; generic containers and composite potion chains are excluded.	item.avantoe.261|item.kebbit_teeth_dust.10111
item.super_strength_4.2440	RECIPE_COMPONENTS	recipe.potion.super_strength_4	Unlocks the direct herb and secondary ingredient used to make Super strength(4); generic containers and composite potion chains are excluded.	item.kwuarm.263|item.limpwurt_root.225
item.weapon_poison.187	RECIPE_COMPONENTS	recipe.potion.weapon_poison	Unlocks the direct herb and secondary ingredient used to make Weapon poison; generic containers and composite potion chains are excluded.	item.kwuarm.263|item.dragon_scale_dust.241
item.super_restore.3030	RECIPE_COMPONENTS	recipe.potion.super_restore	Unlocks the direct herb and secondary ingredient used to make Super restore; generic containers and composite potion chains are excluded.	item.snapdragon.3000|item.red_spiders_eggs.223
item.super_defence_4.2442	RECIPE_COMPONENTS	recipe.potion.super_defence_4	Unlocks the direct herb and secondary ingredient used to make Super defence(4); generic containers and composite potion chains are excluded.	item.cadantine.265|item.white_berries.239
item.antifire_potion.2458	RECIPE_COMPONENTS	recipe.potion.antifire_potion	Unlocks the direct herb and secondary ingredient used to make Antifire potion; generic containers and composite potion chains are excluded.	item.lantadyme.2481|item.dragon_scale_dust.241
item.ranging_potion.173	RECIPE_COMPONENTS	recipe.potion.ranging_potion	Unlocks the direct herb and secondary ingredient used to make Ranging potion; generic containers and composite potion chains are excluded.	item.dwarf_weed.267|item.wine_of_zamorak.245
item.magic_potion.3046	RECIPE_COMPONENTS	recipe.potion.magic_potion	Unlocks the direct herb and secondary ingredient used to make Magic potion; generic containers and composite potion chains are excluded.	item.lantadyme.2481|item.potato_cactus.3138
item.zamorak_brew.193	RECIPE_COMPONENTS	recipe.potion.zamorak_brew	Unlocks the direct herb and secondary ingredient used to make Zamorak brew; generic containers and composite potion chains are excluded.	item.torstol.269|item.jangerberries.247
item.saradomin_brew.6691	RECIPE_COMPONENTS	recipe.potion.saradomin_brew	Unlocks the direct herb and secondary ingredient used to make Saradomin brew; generic containers and composite potion chains are excluded.	item.toadflax.2998|item.crushed_nest.6693
item.ancient_brew.26346	RECIPE_COMPONENTS	recipe.potion.ancient_brew	Unlocks the direct herb and secondary ingredient used to make Ancient brew; generic containers and composite potion chains are excluded.	item.dwarf_weed.267|item.nihil_dust.26368
item.neitiznot_faceguard.24271	RECIPE_COMPONENTS	recipe.upgrade.neitiznot_faceguard	Unlocks only the reviewed direct components used to create Neitiznot faceguard.	item.helm_of_neitiznot.10828|item.basilisk_jaw.24268
item.dragonfire_shield.11283	RECIPE_COMPONENTS	recipe.upgrade.dragonfire_shield	Unlocks only the reviewed direct components used to create Dragonfire shield.	item.anti_dragon_shield.1540|item.draconic_visage.11286
item.dragonfire_ward.22002	RECIPE_COMPONENTS	recipe.upgrade.dragonfire_ward	Unlocks only the reviewed direct components used to create Dragonfire ward.	item.anti_dragon_shield.1540|item.skeletal_visage.22006
item.amulet_of_blood_fury.24780	RECIPE_COMPONENTS	recipe.upgrade.amulet_of_blood_fury	Unlocks only the reviewed direct components used to create Amulet of blood fury.	item.amulet_of_fury.6585|item.blood_shard.24777
item.uncharged_toxic_trident.12900	RECIPE_COMPONENTS	recipe.upgrade.uncharged_toxic_trident	Unlocks only the reviewed direct components used to create Uncharged toxic trident.	item.trident_of_the_seas.11907|item.magic_fang.12932
item.infernal_axe.13241	RECIPE_COMPONENTS	recipe.upgrade.infernal_axe	Unlocks only the reviewed direct components used to create Infernal axe.	item.dragon_axe.6739|item.smouldering_stone.13233
item.infernal_pickaxe.13243	RECIPE_COMPONENTS	recipe.upgrade.infernal_pickaxe	Unlocks only the reviewed direct components used to create Infernal pickaxe.	item.dragon_pickaxe.11920|item.smouldering_stone.13233
item.infernal_harpoon.21031	RECIPE_COMPONENTS	recipe.upgrade.infernal_harpoon	Unlocks only the reviewed direct components used to create Infernal harpoon.	item.dragon_harpoon.21028|item.smouldering_stone.13233
item.primordial_boots.13239	RECIPE_COMPONENTS	recipe.upgrade.primordial_boots	Unlocks only the reviewed direct components used to create Primordial boots.	item.dragon_boots.11840|item.primordial_crystal.13231
item.eternal_boots.13235	RECIPE_COMPONENTS	recipe.upgrade.eternal_boots	Unlocks only the reviewed direct components used to create Eternal boots.	item.infinity_boots.6920|item.eternal_crystal.13227
item.pegasian_boots.13237	RECIPE_COMPONENTS	recipe.upgrade.pegasian_boots	Unlocks only the reviewed direct components used to create Pegasian boots.	item.ranger_boots.2577|item.pegasian_crystal.13229
item.ferocious_gloves.22981	RECIPE_COMPONENTS	recipe.upgrade.ferocious_gloves	Unlocks only the reviewed direct components used to create Ferocious gloves.	item.hydra_leather.22983
item.dragon_hunter_lance.22978	RECIPE_COMPONENTS	recipe.upgrade.dragon_hunter_lance	Unlocks only the reviewed direct components used to create Dragon hunter lance.	item.zamorakian_hasta.11889|item.hydra_s_claw.22966
item.burning_claws.29577	RECIPE_COMPONENTS	recipe.upgrade.burning_claws	Unlocks only the reviewed direct components used to create Burning claws.	item.burning_claw.29574
item.shark.385	RECIPE_COMPONENTS	recipe.food.shark	Unlocks the exact raw precursor cooked into Shark; unrelated food tiers and generic ingredients are excluded.	item.raw_shark.383
item.anglerfish.13441	RECIPE_COMPONENTS	recipe.food.anglerfish	Unlocks the exact raw precursor cooked into Anglerfish; unrelated food tiers and generic ingredients are excluded.	item.raw_anglerfish.13439
item.cooked_karambwan.3144	RECIPE_COMPONENTS	recipe.food.cooked_karambwan	Unlocks the exact raw precursor cooked into Cooked karambwan; unrelated food tiers and generic ingredients are excluded.	item.raw_karambwan.3142
item.monkfish.7946	RECIPE_COMPONENTS	recipe.food.monkfish	Unlocks the exact raw precursor cooked into Monkfish; unrelated food tiers and generic ingredients are excluded.	item.raw_monkfish.7944
item.swordfish	RECIPE_COMPONENTS	recipe.food.swordfish	Unlocks the exact raw precursor cooked into Swordfish; unrelated food tiers and generic ingredients are excluded.	item.raw-swordfish
item.lobster	RECIPE_COMPONENTS	recipe.food.lobster	Unlocks the exact raw precursor cooked into Lobster; unrelated food tiers and generic ingredients are excluded.	item.raw-lobster
item.manta_ray.391	RECIPE_COMPONENTS	recipe.food.manta_ray	Unlocks the exact raw precursor cooked into Manta ray; unrelated food tiers and generic ingredients are excluded.	item.raw_manta_ray.389
item.sea_turtle.397	RECIPE_COMPONENTS	recipe.food.sea_turtle	Unlocks the exact raw precursor cooked into Sea turtle; unrelated food tiers and generic ingredients are excluded.	item.raw_sea_turtle.395
item.tuna	RECIPE_COMPONENTS	recipe.food.tuna	Unlocks the exact raw precursor cooked into Tuna; unrelated food tiers and generic ingredients are excluded.	item.raw-tuna
