card_id	value
npc.black_guard_berserker.6050	66
npc.black_heather.301	34
npc.black_jaguar.12978	67–88
npc.black_knight.516	32–33
npc.black_knight_titan.4067	120–210
npc.black_unicorn.2849	27
npc.black_unicorn_foal.3911	22
npc.blessed_giant_rat.4534	9
npc.blessed_spider.4533	39
npc.blood_blamish_snail.2645	20
npc.blood_jaguar.13021	40
npc.blood_moon.13011	329
npc.blood_reaver.11293	161–174
npc.blood_spawn.8367	35–183
npc.blood_starved_venator.15770	246
npc.bloodthirst_rockslug.12561	86
npc.bloodthirsty_abomination.12572	206
npc.bloodthirsty_abyssal_demon.12581	342
npc.bloodthirsty_banshee.12540	70
npc.bloodthirsty_basilisk.12565	135
npc.bloodthirsty_basilisk_sentinel.12566	358
npc.bloodthirsty_bloodveld.12568	202
npc.bloodthirsty_choke_devil.12575	264
npc.bloodthirsty_cockathrice.12562	89
npc.bloodthirsty_crawler.12539	68
npc.bloodthirsty_drake.12586	386
npc.bloodthirsty_gargoyle.12578	349
npc.bloodthirsty_hand.12538	45
npc.bloodthirsty_hydra.12588	334
npc.bloodthirsty_infernal_pyrelord.12564	134
npc.bloodthirsty_jelly.12570	206
npc.bloodthirsty_kurask.12576	295
npc.bloodthirsty_mage.12567	162
npc.bloodthirsty_mutated_bloodveld.12569	278
npc.bloodthirsty_nechryarch.12582	300
npc.bloodthirsty_night_beast.12580	374
npc.bloodthirsty_pyrelord.12563	97
npc.bloodthirsty_repugnant_spectre.12574	335
npc.bloodthirsty_shadow_wyrm.12584	267
npc.bloodthirsty_smoke_devil.12577	280
npc.bloodthirsty_spectre.12573	253
npc.bloodthirsty_turoth.12583	244
npc.bloodthirsty_twisted_banshee.12542	144
npc.bloodthirsty_warped_jelly.12571	241
npc.bloodveld.484	76–81
npc.bloodworm.1678	52
npc.bloody_jack.15682	77
npc.blue_dagannoth.15166	100
npc.blue_dragon.265	111
npc.blue_moon.13013	329
npc.boar.11066	5–7
npc.boatswain_bill_teak.15678	77
npc.body_golem.10691	50
npc.boris.2613	24
npc.borrokar.3939	48
npc.bouncer.1224	137–244
npc.branda_the_fire_queen.12596	350
npc.brassican_mage.7310	140
npc.brawler.1734	51–158
npc.bree.2208	146
npc.breoca.4107	5
npc.brine_rat.4501	70
npc.broddi.3685	2
npc.bronze_dragon.270	131–143
npc.broodoo_victim.6409	60
npc.bruise_blamish_snail.2647	20
npc.brutal_black_dragon.7275	318
npc.brutal_blue_dragon.7273	271
npc.brutal_green_dragon.2918	227
npc.brutal_red_dragon.7274	289
npc.brutus.15626	30
npc.bryophyta.8195	128
npc.buffalo.13004	9
npc.bull_shark.15194	65
npc.bush_snake.6102	35
npc.butterfly_ray.15216	68
npc.callisto.6503	470
npc.calvar_ion.11993	264
npc.camp_dweller.1379	25–31
npc.captain_jack.15684	95
npc.captain_ruban_acer.15683	95
npc.carnivorous_chinchompa.2911	2
npc.catablepon.2474	49–68
npc.cave_abomination.7401	206–395
npc.cave_bug.481	6–96
npc.cave_crawler.406	23
npc.cave_goblin.6434	3
npc.cave_goblin_guard.5334	24–26
npc.cave_goblin_miner.5330	11
npc.cave_horror.1047	80
npc.cave_lizard.7424	37
npc.cave_slime.480	23
npc.ceolburg.4111	4
npc.cerberus.5862	318–413
npc.champion_of_scabaras.11483	379
npc.chaos_druid.520	13
npc.chaos_druid_warrior.532	37
npc.chaos_dwarf.291	48
npc.chaos_elemental.2054	305
npc.chaos_fanatic.6619	202
npc.chaos_golem.10689	70
npc.chaotic_death_spawn.6716	215
npc.chasm_crawler.7389	68
npc.chicken	3
npc.chilled_jelly.13799	112
npc.chimalli.14362	160
npc.chinchompa.2910	1
npc.choke_devil.7404	264
npc.chompy_bird.1475	6
npc.chosen_aluinus.14225	191
npc.chronozon.4987	170–297
npc.chuck_up.15169	98
npc.city_guard.4373	83
npc.cockathrice.7393	89
npc.cockatrice.419	37
npc.colonel_radick.4406	38
npc.colossal_hydra.10402	334
npc.commander_zilyana.2205	596
npc.confused_barbarian.2920	132
npc.confusion_beast.1067	43–63
npc.corporeal_beast.319	785
npc.corrupt_lizardman.7997	46–152
npc.corrupted_bat.9042	48
npc.corrupted_bear.9046	258
npc.corrupted_dark_beast.9048	258
npc.corrupted_dragon.9047	258
npc.corrupted_hunllef.9035	894
npc.corrupted_rat.9040	33
npc.corrupted_scorpion.9044	89
npc.corrupted_spider.9041	32
npc.corrupted_unicorn.9043	61
npc.corrupted_wolf.9045	97
npc.corsair_traitor.7949	35–103
npc.count_draynor.3481	34–177
npc.cow	170
npc.cow_calf.2792	2
npc.crab.4819	21–23
npc.crawling_hand.448	7–12
npc.crazy_archaeologist.6618	204
npc.crimson_sanguisphera.12369	34
npc.crocodile.4184	63–71
npc.cruor.11285	285
npc.crushing_hand.7388	45
npc.crypt_rat.1679	43
npc.crypt_spider.1683	56
npc.crystalline_bat.9028	33
npc.crystalline_bear.9032	172
npc.crystalline_dark_beast.9034	172
npc.crystalline_dragon.9033	172
npc.crystalline_hunllef.9021	674
npc.crystalline_rat.9026	23
npc.crystalline_scorpion.9030	64
npc.crystalline_spider.9027	22
npc.crystalline_unicorn.9029	45
npc.crystalline_wolf.9031	69
npc.cuffs.3279	3
npc.culinaromancer.4878	75–209
npc.cultist.12918	34
npc.cursed_baboon.11717	70
npc.cuthbert_lord_of_dread.12957	1
npc.cyclops.2097	56–106
npc.dad.4130	101–201
npc.daddy_s_special_water.15167	125
npc.dagannoth.140	74–135
npc.dagannoth_fledgeling.2264	70
npc.dagannoth_mother.983	100–201
npc.dagannoth_prime.2266	303–447
npc.dagannoth_rex.2267	303–479
npc.dagannoth_spawn.3184	42
npc.dagannoth_supreme.2265	303–436
npc.damien_leucurte.9564	204
npc.damis.682	103–272
npc.dark_ankou.7296	95
npc.dark_beast.4005	182
npc.dark_energy_core.320	75
npc.dark_warrior.531	8–145
npc.dark_wizard.510	7–23
npc.dawn.7852	1–228
npc.deadly_red_spider.3021	34
npc.death_spawn.10	46
npc.death_wing.509	83
npc.defiler.1724	33–97
npc.delrith.5079	27
npc.demon.142	82
npc.demonic_brutus.15628	1224
npc.demonic_gorilla.7144	275
npc.deranged_archaeologist.7806	276
npc.derwen.7859	235–280
npc.desert_lizard.459	24
npc.desert_wolf.4649	27
npc.dessourt.4883	121–217
npc.dessous.3459	139–217
npc.deviant_spectre.7279	169
npc.dharok_the_wretched.1673	115–666
npc.dire_bat.15757	142
npc.dire_gryphon.14859	209
npc.dire_wolf.3426	72–88
npc.dire_wolf_alpha.13812	113
npc.disciple_of_iban.8997	13
npc.dolphin.15234	22
npc.don_t_know_what.8439	163
npc.donny_the_lad.302	34
npc.doom_of_mokhaiotl.14707	123–508
npc.doomion.8995	91
npc.double_agent.1777	65–141
npc.drake.8612	192
npc.dreadborn_araxyte.13680	281
npc.drink_troll.15164	14
npc.drink_troll_queen.15175	217
npc.druid.3258	33
npc.drunken_man.3263	3
npc.duck.1838	1
npc.duckling.2001	1
npc.duke.5258	149
npc.duke_sucellus.12191	538–758
npc.dungeon_rat.2865	12
npc.durial321.13662	272
npc.dusk.7851	1–328
npc.dust_devil.423	93–110
npc.dwarf.290	7–20
npc.dwarf_gang_member.1354	44–49
npc.eadburg.4095	4
npc.eagle_ray.15214	44
npc.earth_elemental.1366	35
npc.earth_warrior.2840	51
npc.earth_warrior_champion.3328	102
npc.earth_wizard.1558	13
npc.earthen_nagua.14420	128
npc.eclipse_moon.13012	329
npc.eduard.2618	24
npc.einar.3675	1
npc.elder_aquanite.15502	305
npc.elder_chaos_druid.6607	129
npc.elder_custodian_stalker.14704	142
npc.eldric_the_ice_king.14147	350
npc.elf_archer.5295	90
npc.elf_warrior.5293	108
npc.elidinis_warden.11753	407–1470
npc.elite_black_knight.13463	138
npc.elite_dark_mage.13469	96
npc.elite_dark_ranger.13467	96
npc.elite_dark_warrior.13465	96
npc.elite_khazard_guard.13531	95
npc.elvarg.6349	83–214
npc.embertailed_jerboa.13139	2
npc.emissary.13779	74
npc.emissary_acolyte.13732	34
npc.emissary_archer.14407	71
npc.emissary_ascended.13744	117
npc.emissary_brawler.13773	74–86
npc.emissary_chosen.13738	76
npc.emissary_conjurer.13777	71
npc.emissary_enforcer.14268	196
npc.emissary_forebearer.13752	131
npc.enclave_guard.4381	83
npc.ennius_tullus.14331	306
npc.enormous_tentacle.5535	112
npc.enraged_barbarian_spirit.5564	166
npc.enraged_boar.11227	12
npc.ent.6594	86–101
npc.entrana_firebird.4927	2
npc.essyllt.8950	236–395
npc.evelot.12047	148
npc.evil_chicken.1870	159–286
npc.evil_spirit.625	150
npc.experiment.1273	25–51
npc.experiment_no_2.5126	109
npc.fareed.3456	167–299
npc.fear_reaper.1066	42–55
npc.feral_vampyre.3137	25–130
npc.ferocious_barbarian_spirit.5566	166
npc.fever_spider.626	49
npc.fire_elemental.1365	35–37
npc.fire_giant.2075	86–109
npc.fire_warrior_of_lesarkus.3448	84
npc.fire_wizard.1556	13
npc.fiyr_shade.1286	120
npc.fiyr_shadow.1285	120
npc.flambeed.4881	149–238
npc.flaming_pyrelord.7394	97–338
npc.flawed_golem.10695	13
npc.flesh_crawler.2498	28–41
npc.flight_kilisa.3165	159
npc.flockleader_geerin.3164	149
npc.foreman.1429	23
npc.forester.3296	15
npc.forgotten_soul.10523	20–76
npc.fortress_guard.4772	20
npc.fox.3901	19
npc.fragment_of_seren.8917	494
npc.freidir.3938	48
npc.fremennik_warband_archer.12814	104
npc.fremennik_warband_berserker.12816	103
npc.fremennik_warband_seer.12815	104
npc.frenzied_ice_troll_female.5825	82
npc.frenzied_ice_troll_grunt.5826	102
npc.frenzied_ice_troll_male.5824	82
npc.frenzied_ice_troll_runt.5823	74
npc.frigatebird.15226	78
npc.frog.8702	5
npc.frogeel.3600	103
npc.frost_crab.13789	15
npc.frost_dragon.14922	202
npc.frost_nagua.13787	104
npc.fumus.11283	285
npc.gadderanks.4484	35
npc.galina.2625	24
npc.galvek.8095	608
npc.gang_boss.6900	76–83
npc.gangster.6896	45–50
npc.gardener.3275	3–4
npc.gargoyle.412	111
npc.gelatinnoth_mother.4884	130–201
npc.gemstone_crab.14779	160
npc.general_graardor.2215	624
npc.general_khazard.12025	142
npc.georgy.2620	24
npc.ghast.946	30–139
npc.ghost.85	19–105
npc.ghost_guard.6698	1337
npc.ghoul.289	42
npc.ghoul_champion.3330	85
npc.giant_ant.15436	21–29
npc.giant_bat.2834	27
npc.giant_champion.3329	56
npc.giant_crypt_rat.1680	76
npc.giant_crypt_spider.1684	79
npc.giant_frog.477	13–99
npc.giant_goblin.12452	397
npc.giant_lobster.2994	32–112
npc.giant_mole.5779	230
npc.giant_mosquito.1041	13
npc.giant_rat	26–46
npc.giant_roc.763	172–257
npc.giant_rock_crab.2261	137
npc.giant_rockslug.7392	86
npc.giant_scarab.797	191–316
npc.giant_sea_snake.1101	149
npc.giant_skeleton.680	80–100
npc.giant_snail.5628	80–139
npc.giant_spider	50
npc.giant_wasp.15438	28
npc.glacies.11286	285
npc.glod.5129	138–276
npc.glough.7101	431
npc.gnome.5968	1–3
npc.gnome_archer.6097	5
npc.gnome_child.6077	1
npc.gnome_driver.6098	5
npc.gnome_guard.6081	23–1337
npc.gnome_mage.6099	5
npc.gnome_troop.4973	1–3
npc.gnome_woman.6086	1
npc.goat.1792	23
npc.goblin	5–25
npc.goblin_champion.3353	24
npc.goblin_guard.5369	42
npc.golem.2836	55–64
npc.golem_guard.14125	141
npc.gorad.4367	68
npc.gorak.1834	145–149
npc.grave_scorpion.5372	12
npc.great_olm.7554	549–1043
npc.great_white_shark.15200	175
npc.greater_abyssal_demon.7410	342–407
npc.greater_demon.2025	92–113
npc.greater_nechryael.7278	200
npc.greater_skeleton_hellhound.6614	139–231
npc.green_dragon.260	79–88
npc.grey_golem.4744	75
npc.grimy_lizard.13029	50
npc.grip.4919	22
npc.grizzly_bear.2838	21–83
npc.grizzly_bear_cub.3424	33–36
npc.growler.2207	139
npc.growthling.8194	37
npc.gryphon.14857	95
npc.guard	10–1337
npc.guard_bandit.1027	22
npc.guardian_drake.10400	376
npc.guardian_of_armadyl.3445	43–45
npc.gunthor_the_brave.299	29
npc.guthan_the_infested.1674	115
npc.h_a_m_archer.5157	30
npc.h_a_m_guard.2536	12–22
npc.h_a_m_mage.5158	30
npc.halla.3678	1
npc.hammerhead_shark.15196	90
npc.harpie_bug_swarm.464	46
npc.head.5644	140
npc.head_guard.11093	84
npc.head_menaphite_guard.11529	174
npc.head_thief.4248	26
npc.headless_beast.10493	82–233
npc.hellhound.104	122–136
npc.hengel.3284	2
npc.hermit_crab.14852	19
npc.hero.3295	69
npc.hespori.8583	284–302
npc.hill_giant.2098	28
npc.hobgoblin.132	28–54
npc.hobgoblin_champion.3354	56
npc.holthion.8996	91
npc.hoop_snake.7802	19
npc.hopeless_beast.4696	71
npc.hopeless_creature.1072	40–71
npc.hueycoatl_body.14017	642
npc.hueycoatl_tail.14014	642
npc.huge_spider.134	81
npc.husk.9454	48–104
npc.hydra.8609	194
npc.hygd.4110	4
npc.i_dscim_you.15553	307
npc.ice_elemental.14151	37
npc.ice_giant.2085	53–67
npc.ice_queen.4922	111
npc.ice_spider.3022	61
npc.ice_troll.648	120–124
npc.ice_troll_female.1876	82
npc.ice_troll_grunt.1877	100
npc.ice_troll_king.5822	122–213
npc.ice_troll_male.1875	82
npc.ice_troll_runt.1874	74
npc.ice_warrior.2841	57
npc.ice_wolf.645	96–132
npc.icefiend.3140	13–18
npc.icelord.852	51
npc.imp.3134	2–7
npc.imp_champion.3355	14
npc.impaler_deer.15759	119
npc.imre.2614	24
npc.infernal_mage.443	66
npc.infernal_pyrelord.9465	134
npc.insatiable_bloodveld.7397	202
npc.insatiable_mutated_bloodveld.7398	278
npc.invrigar_the_necromancer.511	20
npc.iorwerth_archer.3428	90
npc.iorwerth_warrior.3429	108
npc.irina.2622	24
npc.iron_dragon.272	189–215
npc.irvig_senay.3965	100
npc.ithoi_the_navigator.7964	35
npc.jackal.4185	21
npc.jaguar.12976	67
npc.jaguar_cub.12977	31
npc.jaguar_warrior.12810	234–393
npc.jail_guard.4276	26
npc.jailer.300	47
npc.jake.3863	37
npc.jal_ak.7693	165
npc.jal_akrek_ket.7696	70
npc.jal_akrek_mej.7694	70
npc.jal_akrek_xil.7695	70
npc.jal_imkot.7697	240
npc.jal_mejjak.7708	250
npc.jal_mejrah.7692	85
npc.jal_nib.7691	32
npc.jal_xil.7698	370
npc.jal_zek.7699	490
npc.jaltok_jad.7700	900
npc.javelin_colossus.12817	278
npc.jeff.3282	2
npc.jelly.437	78
npc.jennella.3944	48
npc.jhallan.12353	491
npc.jogre.2094	53–58
npc.jogre_champion.3356	107
npc.jonny_the_beard.14139	2
npc.joseph.2616	24
npc.jubbly_bird.4863	9
npc.jubster.3604	87
npc.judge_of_yama.10938	168
npc.jungle_demon.1443	195–327
npc.jungle_horror.1042	70
npc.jungle_spider.3020	37–44
npc.jungle_wolf.232	64
npc.justiciar_zachariah.7858	348–393
npc.juvenile_custodian_stalker.14702	93
npc.k_ril_tsutsaroth.3129	650
npc.kalphite_guardian.959	141
npc.kalphite_queen.963	333
npc.kalphite_soldier.138	85
npc.kalphite_worker.955	28
npc.kalrag.8993	89
npc.kamil.3458	154–273
npc.karamel.4882	136–186
npc.karil_the_tainted.1675	98
npc.kasonde.12262	231
npc.kasonde_the_craven.12331	221
npc.kebbit.1494	13
npc.keef.7105	178
npc.kephri.11719	341
npc.ket_zek.3125	269–360
npc.ketla_the_unworthy.12329	236
npc.khazard_commander.4972	48
npc.khazard_guard.1208	23
npc.khazard_ogre.1225	63
npc.khazard_scorpion.1226	44
npc.khazard_trooper.4969	19
npc.khazard_warlord.6390	112–192
npc.killerwatt.469	55
npc.king_black_dragon.239	276–281
npc.king_kurask.7405	295
npc.king_roald.4163	47–188
npc.king_sand_crab.7266	107
npc.king_scorpion.3027	32
npc.knight_of_ardougne.3297	27–53
npc.knight_of_saradomin.2213	101–103
npc.knight_of_varlamore.12916	46–81
npc.kob.7107	185
npc.kolodion.1609	112
npc.kraka.928	91
npc.kraken.494	291
npc.kree_arra.3162	580
npc.kroy.9560	133
npc.kruk.6805	207
npc.ksenia.2627	24
npc.kurask.410	106
npc.lanzig.3940	48
npc.large_chicken.14510	16
npc.large_mosquito.6272	13
npc.lava_dragon.6593	252
npc.lava_strykewyrm.15500	116
npc.leech.3233	52
npc.lensa.3943	48
npc.leon_d_cour.3360	141
npc.lesser_demon.2005	39–94
npc.lesser_demon_champion.3357	162
npc.lev.2619	24
npc.liliya.2632	24
npc.lizard.458	42
npc.lizardman.6914	53–62
npc.lizardman_brute.6918	75
npc.lizardman_shaman.6766	150
npc.loar_shade.1277	40
npc.lobstrosity.7796	68
npc.locust.11584	18
npc.locust_rider.795	68–106
npc.long_tailed_wyvern.7792	152
npc.lost_barbarian.2921	132
npc.lowerniel_drakan.16204	927–1063
npc.lucien.13607	14
npc.lucius.14363	160
npc.lynx.11068	21–24
npc.lynx_tamer.11071	21
npc.maggot_king.15742	741
npc.magic_axe.2844	42
npc.magic_mark.13663	467
npc.magma_strykewyrm.15504	249
npc.malevolent_mage.7396	162–286
npc.mammoth.6604	80
npc.man	4
npc.maniacal_monkey.6803	48–140
npc.maniacal_monkey_archer.7119	132
npc.manta_ray.15220	133
npc.manticore.12818	320
npc.marble_gargoyle.7407	349
npc.market_guard.2120	20–48
npc.mature_custodian_stalker.14703	117
npc.maxilla_beast.16233	194
npc.me.785	79–201
npc.melzar_the_mad.823	43
npc.menaphite_akh.11492	351
npc.menaphite_shadow.11462	147
npc.menaphite_thug.3549	55
npc.mercenary.4656	45
npc.mercenary_axeman.13535	131
npc.mercenary_captain.4635	47
npc.mercenary_mage.13537	112
npc.milla.2624	24
npc.mind_golem.10693	30
npc.minotaur.2481	12–318
npc.mirrorback_araxyte.13671	114
npc.mister_u.15679	77
npc.mithril_dragon.2919	304
npc.mogre.2592	54–60
npc.molanisk.1	51
npc.monk.2579	3–5
npc.monk_of_zamorak.527	17–45
npc.monkey.1038	3
npc.monkey_archer.5272	86
npc.monkey_guard.5271	149–167
npc.monkey_zombie.5281	82–129
npc.monstrous_basilisk.7395	135
npc.moonlight_cockatrice.13030	49
npc.mosquito_swarm.6273	17–20
npc.moss_giant.2090	42–84
npc.moss_guardian.891	84–182
npc.mosschin.11271	88
npc.mother.8428	198
npc.mountain_troll.936	69–71
npc.mounted_terrorbird_gnome.2067	31–49
npc.mourner.8844	11–108
npc.mouse.5127	95
npc.mudskipper.4820	30–31
npc.mummy.717	84–103
npc.mutant_tarn.6477	69
npc.mutated_bloodveld.7276	123
npc.mutated_terrorbird.12464	178
npc.mutated_tortoise.12465	247
npc.mute_jack.15681	77
npc.myre_blamish_snail.2634	9–10
npc.mysterious_figure.12300	271
npc.nail_beast.2946	69–141
npc.narf.3280	2
npc.narwhal.15202	111
npc.nazastarool.5353	68–181
npc.nechryael.8	115
npc.nechryarch.7411	300
npc.necromancer.1025	26–68
npc.newtroost.3605	19
npc.nex.11278	1001
npc.nezikchened.3962	187–295
npc.night_beast.7409	332–374
npc.nikita.2629	24
npc.nikolai.2617	24
npc.nuclear_smoke_devil.7406	280
npc.nylocas_athanatos.8384	107–350
npc.nylocas_hagios.8344	46–260
npc.nylocas_ischyros.8342	46–260
npc.nylocas_matomenos.8366	68–138
npc.nylocas_prinkipas.10804	400
npc.nylocas_toxobolos.8343	46–260
npc.nylocas_vasilias.8355	301–800
npc.oaky_doak.15677	77
npc.obor.7416	106
npc.ocelot.14545	35
npc.ocga.4108	5
npc.ochre_blamish_snail.2646	10–15
npc.ogre.136	53–63
npc.ogre_chieftain.4362	81
npc.ogre_shaman.4382	1–113
npc.ogress_shaman.7991	82
npc.ogress_warrior.7989	82
npc.oipuis.5259	149
npc.old_jack.15680	77
npc.oomlie_bird.2062	46
npc.orca.15204	205
npc.ork.2237	107
npc.oryx.13006	15
npc.osprey.15222	63
npc.othainian.8994	91
npc.otherworldly_being.2843	64
npc.ouhai.5261	149
npc.outlaw.4167	32
npc.padulah.5263	149
npc.paladin.1144	49–121
npc.palmer.3869	37
npc.parasite.9452	57–129
npc.passionate_supporter.12833	7
npc.pee_hat.927	91
npc.penance_fighter.5739	30–77
npc.penance_queen.5775	209
npc.penance_ranger.5757	21–72
npc.penda.4109	5
npc.penguin.2063	2
npc.persten_the_deceitful.12333	264
npc.pestilent_bloat.8359	312–1044
npc.phantom_hand.10957	47
npc.phantom_muspah.12077	357–741
npc.phosani_s_nightmare.9416	1024
npc.pirate.521	23–57
npc.pirate_guard.4926	19
npc.pit_scorpion.3026	28
npc.plague_frog.11586	11
npc.poison_scorpion.3025	20
npc.poison_spider.3023	31–64
npc.poltenip.4758	21
npc.porazdir.7860	235–280
npc.porcupine.13968	4
npc.possessed_pickaxe.3612	50
npc.possessed_priest.4210	91
npc.praying_mantis.15430	14
npc.prifddinas_guard.6595	1337
npc.prince_itzla_arkan.13784	167
npc.punching_bag.15191	897
npc.pygmy_kraken.15206	93
npc.pyrefiend.433	43–48
npc.pyrelord.6762	60
npc.queen_spawn.5776	63
npc.rabbit.1852	1–2
npc.radat.4759	21
npc.radiant_sanguisphera.12370	34
npc.ragnar.3674	1
npc.ragnvald.3687	2
npc.ram.1261	2
npc.ranalph_devere.3966	92
npc.ranging_ro.13664	473
npc.ranis_drakan.8244	233
npc.rannveig.3681	2
npc.rat.2492	1
npc.ravager.1704	36–106
npc.reanimated_demon_spawn.7287	87
npc.red_dragon.247	106–152
npc.redeyes.11272	121
npc.reef_snake.15499	147
npc.renegade_knight.3517	37
npc.repugnant_spectre.7403	335
npc.revenant_cyclops.7934	82
npc.revenant_dark_beast.7938	120
npc.revenant_demon.7936	98
npc.revenant_dragon.7940	135
npc.revenant_goblin.7931	15
npc.revenant_hellhound.7935	90
npc.revenant_hobgoblin.7933	60
npc.revenant_imp.7881	7
npc.revenant_knight.7939	126
npc.revenant_maledictus.11246	397
npc.revenant_ork.7937	105
npc.revenant_pyrefiend.7932	52
npc.river_troll.6732	14–159
npc.riyl_shade.1282	80
npc.riyl_shadow.1281	80
npc.robert_the_strong.8057	224
npc.rock.925	111
npc.rock_crab.100	13
npc.rock_golem.6725	13–154
npc.rock_lobster.5944	127
npc.rocnar.143	97
npc.rogue.526	15–135
npc.rooster.1175	2–3
npc.rowdy_guard.4654	43
npc.rowdy_slave.4634	10
npc.rune_dragon.8027	380
npc.runite_golem.6600	165
npc.ruptura_araxyte.13673	114
npc.rusty.3281	2
npc.salarin_the_twisted.304	70
npc.san_tojalon.3964	106
npc.sand_crab.5935	15
npc.sand_snake.7895	36–154
npc.sanguidae.15756	106
npc.sarachnis.8713	318
npc.saradomin_priest.2209	113
npc.saradomin_wizard.2955	108
npc.scarab.11697	56
npc.scarab_mage.794	66–119
npc.scarab_swarm.1782	8–98
npc.scarabs.729	92
npc.scarred_black_demon.12386	176
npc.scarred_greater_demon.12373	95–113
npc.scarred_hellhound.12374	101
npc.scarred_imp.12377	19
npc.scarred_lesser_demon.12360	85–121
npc.scion.5918	93
npc.scorpia.6615	225
npc.scorpia_s_guardian.6617	47
npc.scorpia_s_offspring.6616	15
npc.scorpion	1–59
npc.screaming_banshee.7390	70
npc.screaming_twisted_banshee.7391	144
npc.scurrius.7221	200–1470
npc.sea_snake_hatchling.1098	62
npc.sea_snake_young.1097	90
npc.sea_troll.4308	65–101
npc.sea_troll_queen.4315	170
npc.seagull.1338	2–3
npc.sergeant.11073	84
npc.sergeant_grimspike.2218	142
npc.sergeant_steelwill.2217	142
npc.sergeant_strongstack.2216	141
npc.serpent_shaman.12811	161
npc.servant.4104	5
npc.shade.5633	140–159
npc.shadow.4004	73
npc.shadow_hound.3449	63
