quest_key	group_id	group_mode	card_id	source
Asoulsbane	all:npc.confusion_beast.1067	ALL	npc.confusion_beast.1067	OSRS Wiki: A Soul's Bane
Asoulsbane	all:npc.fear_reaper.1066	ALL	npc.fear_reaper.1066	OSRS Wiki: A Soul's Bane
Asoulsbane	all:npc.hopeless_creature.1072	ALL	npc.hopeless_creature.1072	OSRS Wiki: A Soul's Bane
Asoulsbane	all:npc.tolna.1075	ALL	npc.tolna.1075	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Atasteofhope	all:npc.abomination.8262	ALL	npc.abomination.8262	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Atasteofhope	all:npc.nylocas_vasilias.8355	ALL	npc.nylocas_vasilias.8355	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / OSRS Wiki: A Taste of Hope; A Night at the Theatre
Atasteofhope	all:npc.ranis_drakan.8244	ALL	npc.ranis_drakan.8244	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Anothersliceofham	all:npc.h_a_m_archer.5157	ALL	npc.h_a_m_archer.5157	OSRS Wiki: Another Slice of H.A.M.; H.A.M. Archer
Anothersliceofham	all:npc.h_a_m_mage.5158	ALL	npc.h_a_m_mage.5158	OSRS Wiki: Another Slice of H.A.M.; H.A.M. Mage
Anothersliceofham	all:npc.sigmund.991	ALL	npc.sigmund.991	OSRS Wiki: Death to the Dorgeshuun; Another Slice of H.A.M.
Barbariantraining	all:npc.mithril_dragon.2919	ALL	npc.mithril_dragon.2919	OSRS Wiki: Barbarian Training; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Dragon Slayer II
Belowicemountain	all:npc.ancient_guardian.10654	ALL	npc.ancient_guardian.10654	OSRS Wiki: Below Ice Mountain
Beneathcursedsands	all:npc.champion_of_scabaras.11483	ALL	npc.champion_of_scabaras.11483	OSRS Wiki: Beneath Cursed Sands; Champion of Scabaras
Beneathcursedsands	all:npc.menaphite_akh.11492	ALL	npc.menaphite_akh.11492	OSRS Wiki: Beneath Cursed Sands
Betweenarock	all:npc.arzinian_avatar_of_magic.1234	ALL	npc.arzinian_avatar_of_magic.1234	OSRS Wiki: Between a Rock...; Arzinian Avatar of Magic
Betweenarock	all:npc.arzinian_avatar_of_ranging.1231	ALL	npc.arzinian_avatar_of_ranging.1231	OSRS Wiki: Between a Rock...; Arzinian Avatar of Ranging
Betweenarock	all:npc.arzinian_avatar_of_strength.1228	ALL	npc.arzinian_avatar_of_strength.1228	OSRS Wiki: Between a Rock...; Arzinian Avatar of Strength
Bigchompybirdhunting	all:npc.chompy_bird.1475	ALL	npc.chompy_bird.1475	OSRS Wiki: Big Chompy Bird Hunting
Biohazard	all:npc.mourner.8844	ALL	npc.mourner.8844	OSRS Wiki: Biohazard; Mourning's End Part I; Mourner
Cabinfever	all:npc.pirate.521	ALL	npc.pirate.521	OSRS Wiki: The Red Reef; Pirate; OSRS Wiki: Cabin Fever
Coldwar	all:npc.icelord.852	ALL	npc.icelord.852	OSRS Wiki: Cold War
Contact	all:npc.giant_scarab.797	ALL	npc.giant_scarab.797	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Contact	all:npc.scarab_mage.794	ALL	npc.scarab_mage.794	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Contact	all:npc.scarab_swarm.1782	ALL	npc.scarab_swarm.1782	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Contact	all:npc.scarabs.729	ALL	npc.scarabs.729	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Creatureoffenkenstrain	all:npc.experiment.1273	ALL	npc.experiment.1273	OSRS Wiki: Creature of Fenkenstrain; Experiment; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
Darknessofhallowvale	all:npc.vanstrom_klause.3735	ALL	npc.vanstrom_klause.3735	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Darkness of Hallowvale
Deathontheisle	all:npc.adala.13824	ALL	npc.adala.13824	OSRS Wiki: Death on the Isle
Deathontheisle	all:npc.naiatli.13838	ALL	npc.naiatli.13838	Quest completeness review; pinned cache family 13838
Deathtothedorgeshuun	all:npc.sigmund.991	ALL	npc.sigmund.991	OSRS Wiki: Death to the Dorgeshuun; Another Slice of H.A.M.
Defenderofvarrock	all:npc.armoured_zombie.12720	ALL	npc.armoured_zombie.12720	OSRS Wiki: Defender of Varrock
Defenderofvarrock	all:npc.chaos_golem.10689	ALL	npc.chaos_golem.10689	OSRS Wiki: Defender of Varrock
Demonslayer	all:npc.delrith.5079	ALL	npc.delrith.5079	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Deserttreasure	all:npc.damis.682	ALL	npc.damis.682	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Deserttreasure	all:npc.dessous.3459	ALL	npc.dessous.3459	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Deserttreasure	all:npc.fareed.3456	ALL	npc.fareed.3456	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Deserttreasure	all:npc.kamil.3458	ALL	npc.kamil.3458	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Deserttreasureii	all:npc.duke_sucellus.12191	ALL	npc.duke_sucellus.12191	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Deserttreasureii	all:npc.kasonde_the_craven.12331	ALL	npc.kasonde_the_craven.12331	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Deserttreasureii	all:npc.ketla_the_unworthy.12329	ALL	npc.ketla_the_unworthy.12329	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Deserttreasureii	all:npc.persten_the_deceitful.12333	ALL	npc.persten_the_deceitful.12333	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Deserttreasureii	all:npc.the_leviathan.12214	ALL	npc.the_leviathan.12214	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Deserttreasureii	all:npc.the_whisperer.12204	ALL	npc.the_whisperer.12204	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Deserttreasureii	all:npc.vardorvis.12223	ALL	npc.vardorvis.12223	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Dragonslayer	all:npc.elvarg.6349	ALL	npc.elvarg.6349	OSRS Wiki: Dragon Slayer I
Dragonslayer	all:npc.lesser_demon.2005	ALL	npc.lesser_demon.2005	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Dragonslayer	all:npc.melzar_the_mad.823	ALL	npc.melzar_the_mad.823	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Dragonslayerii	all:npc.adamant_dragon.8030	ALL	npc.adamant_dragon.8030	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Dragon Slayer II
Dragonslayerii	all:npc.black_dragon.252	ALL	npc.black_dragon.252	OSRS Wiki: Recipe for Disaster — Freeing Sir Amik Varze; Black dragon; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Dragon Slayer II
Dragonslayerii	all:npc.blue_dragon.265	ALL	npc.blue_dragon.265	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Dragon Slayer II
Dragonslayerii	all:npc.brutal_green_dragon.2918	ALL	npc.brutal_green_dragon.2918	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Dragon Slayer II
Dragonslayerii	all:npc.brutal_red_dragon.7274	ALL	npc.brutal_red_dragon.7274	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Dragon Slayer II
Dragonslayerii	all:npc.galvek.8095	ALL	npc.galvek.8095	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Dragonslayerii	all:npc.green_dragon.260	ALL	npc.green_dragon.260	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Dragon Slayer II
Dragonslayerii	all:npc.iron_dragon.272	ALL	npc.iron_dragon.272	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Dragon Slayer II
Dragonslayerii	all:npc.mithril_dragon.2919	ALL	npc.mithril_dragon.2919	OSRS Wiki: Barbarian Training; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Dragon Slayer II
Dragonslayerii	all:npc.red_dragon.247	ALL	npc.red_dragon.247	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Dragon Slayer II
Dragonslayerii	all:npc.robert_the_strong.8057	ALL	npc.robert_the_strong.8057	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Dragonslayerii	all:npc.rune_dragon.8027	ALL	npc.rune_dragon.8027	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Dragon Slayer II
Dragonslayerii	all:npc.spawn.5916	ALL	npc.spawn.5916	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Dragon Slayer II
Dragonslayerii	all:npc.steel_dragon.139	ALL	npc.steel_dragon.139	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Dragon Slayer II
Dragonslayerii	all:npc.vorkath.8060	ALL	npc.vorkath.8060	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Dreammentor	all:npc.the_everlasting.3474	ALL	npc.the_everlasting.3474	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Dreammentor	all:npc.the_illusive.3476	ALL	npc.the_illusive.3476	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Dreammentor	all:npc.the_inadequacy.3473	ALL	npc.the_inadequacy.3473	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Dreammentor	all:npc.the_untouchable.3475	ALL	npc.the_untouchable.3475	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Elementalworkshopi	all:npc.earth_elemental.1366	ALL	npc.earth_elemental.1366	OSRS Wiki: Elemental Workshop I
Fairytalei	all:npc.tanglefoot.5848	ALL	npc.tanglefoot.5848	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Fairytaleii	all:npc.gorak.1834	ALL	npc.gorak.1834	OSRS Wiki: Fairytale II — Cure a Queen
Familycrest	all:npc.chronozon.4987	ALL	npc.chronozon.4987	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Fightarena	all:npc.bouncer.1224	ALL	npc.bouncer.1224	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: The General's Shadow; Ghost of Bouncer; pinned RuneLite cache family 3508/3509
Fightarena	all:npc.khazard_ogre.1225	ALL	npc.khazard_ogre.1225	OSRS Wiki: Fight Arena
Fightarena	all:npc.khazard_scorpion.1226	ALL	npc.khazard_scorpion.1226	OSRS Wiki: Fight Arena
Gettingahead	all:npc.headless_beast.10493	ALL	npc.headless_beast.10493	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Grimtales	all:npc.glod.5129	ALL	npc.glod.5129	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Hauntedmine	all:npc.treus_dayth.3616	ALL	npc.treus_dayth.3616	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Heroesquest	all:npc.entrana_firebird.4927	ALL	npc.entrana_firebird.4927	OSRS Wiki: Heroes' Quest
Heroesquest	all:npc.ice_queen.4922	ALL	npc.ice_queen.4922	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Hisfaithfulservants	all:npc.ahrim_the_blighted.1672	ALL	npc.ahrim_the_blighted.1672	OSRS Wiki: His Faithful Servants
Hisfaithfulservants	all:npc.dharok_the_wretched.1673	ALL	npc.dharok_the_wretched.1673	OSRS Wiki: His Faithful Servants
Hisfaithfulservants	all:npc.guthan_the_infested.1674	ALL	npc.guthan_the_infested.1674	OSRS Wiki: His Faithful Servants
Hisfaithfulservants	all:npc.karil_the_tainted.1675	ALL	npc.karil_the_tainted.1675	OSRS Wiki: His Faithful Servants
Hisfaithfulservants	all:npc.torag_the_corrupted.1676	ALL	npc.torag_the_corrupted.1676	OSRS Wiki: His Faithful Servants
Hisfaithfulservants	all:npc.verac_the_defiled.1677	ALL	npc.verac_the_defiled.1677	OSRS Wiki: His Faithful Servants
Holygrail	all:npc.black_knight_titan.4067	ALL	npc.black_knight_titan.4067	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Hopespearswill	all:npc.mosschin.11271	ALL	npc.mosschin.11271	OSRS Wiki: Hopespear's Will; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Land of the Goblins
Hopespearswill	all:npc.redeyes.11272	ALL	npc.redeyes.11272	OSRS Wiki: Hopespear's Will; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Land of the Goblins
Hopespearswill	all:npc.snailfeet.11270	ALL	npc.snailfeet.11270	OSRS Wiki: Hopespear's Will; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Land of the Goblins
Hopespearswill	all:npc.snothead.11269	ALL	npc.snothead.11269	OSRS Wiki: Hopespear's Will; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Land of the Goblins
Hopespearswill	all:npc.strongbones.11273	ALL	npc.strongbones.11273	OSRS Wiki: Hopespear's Will; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Land of the Goblins
Horrorfromthedeep	all:npc.dagannoth_mother.983	ALL	npc.dagannoth_mother.983	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Icthlarinslittlehelper	all:npc.possessed_priest.4210	ALL	npc.possessed_priest.4210	OSRS Wiki: Possessed Priest; Icthlarin's Little Helper
Inaidofthemyreque	all:npc.gadderanks.4484	ALL	npc.gadderanks.4484	OSRS Wiki: In Aid of the Myreque
Insearchofthemyreque	all:npc.skeleton_hellhound.5054	ALL	npc.skeleton_hellhound.5054	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Lairoftarnrazorlor	all:npc.mutant_tarn.6477	ALL	npc.mutant_tarn.6477	OSRS Wiki: Lair of Tarn Razorlor
Lairoftarnrazorlor	all:npc.tarn.6476	ALL	npc.tarn.6476	OSRS Wiki: Lair of Tarn Razorlor
Landofthegoblins	all:npc.mosschin.11271	ALL	npc.mosschin.11271	OSRS Wiki: Hopespear's Will; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Land of the Goblins
Landofthegoblins	all:npc.redeyes.11272	ALL	npc.redeyes.11272	OSRS Wiki: Hopespear's Will; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Land of the Goblins
Landofthegoblins	all:npc.snailfeet.11270	ALL	npc.snailfeet.11270	OSRS Wiki: Hopespear's Will; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Land of the Goblins
Landofthegoblins	all:npc.snothead.11269	ALL	npc.snothead.11269	OSRS Wiki: Hopespear's Will; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Land of the Goblins
Landofthegoblins	all:npc.strongbones.11273	ALL	npc.strongbones.11273	OSRS Wiki: Hopespear's Will; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Land of the Goblins
Legendsquest	all:npc.irvig_senay.3965	ALL	npc.irvig_senay.3965	OSRS Wiki: Legends' Quest
Legendsquest	all:npc.nezikchened.3962	ALL	npc.nezikchened.3962	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Legendsquest	all:npc.ranalph_devere.3966	ALL	npc.ranalph_devere.3966	OSRS Wiki: Legends' Quest
Legendsquest	all:npc.san_tojalon.3964	ALL	npc.san_tojalon.3964	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Legendsquest	all:npc.viyeldi.3963	ALL	npc.viyeldi.3963	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Lostcity	all:npc.tree_spirit.1163	ALL	npc.tree_spirit.1163	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Lunardiplomacy	all:npc.me.785	ALL	npc.me.785	OSRS Wiki: Lunar Diplomacy
Lunardiplomacy	all:npc.suqah.787	ALL	npc.suqah.787	OSRS Wiki: Lunar Diplomacy
Themagearenai	all:npc.kolodion.1609	ALL	npc.kolodion.1609	OSRS Wiki: Mage Arena I; Kolodion
Themagearenaii	all:npc.derwen.7859	ALL	npc.derwen.7859	OSRS Wiki: Mage Arena II
Themagearenaii	all:npc.justiciar_zachariah.7858	ALL	npc.justiciar_zachariah.7858	OSRS Wiki: Mage Arena II
Themagearenaii	all:npc.porazdir.7860	ALL	npc.porazdir.7860	OSRS Wiki: Mage Arena II
Makingfriendswithmyarm	all:npc.don_t_know_what.8439	ALL	npc.don_t_know_what.8439	OSRS Wiki: Making Friends with My Arm
Makingfriendswithmyarm	all:npc.mother.8428	ALL	npc.mother.8428	OSRS Wiki: Making Friends with My Arm
Meatandgreet	all:npc.dire_wolf_alpha.13812	ALL	npc.dire_wolf_alpha.13812	OSRS Wiki: Meat and Greet
Meatandgreet	all:npc.minotaur.2481	ALL	npc.minotaur.2481	OSRS Wiki: Meat and Greet
Merlinscrystal	all:npc.sir_mordred.3527	ALL	npc.sir_mordred.3527	OSRS Wiki: Sir Mordred; Merlin's Crystal
Monkeymadnessi	all:npc.jungle_demon.1443	ALL	npc.jungle_demon.1443	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Monkeymadnessii	all:npc.demonic_gorilla.7144	ALL	npc.demonic_gorilla.7144	OSRS Wiki: Monkey Madness II; Demonic gorilla
Monkeymadnessii	all:npc.glough.7101	ALL	npc.glough.7101	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Monkeymadnessii	all:npc.keef.7105	ALL	npc.keef.7105	OSRS Wiki: Monkey Madness II; Keef
Monkeymadnessii	all:npc.kob.7107	ALL	npc.kob.7107	OSRS Wiki: Monkey Madness II; Kob
Monkeymadnessii	all:npc.kruk.6805	ALL	npc.kruk.6805	OSRS Wiki: Monkey Madness II; Kruk
Monkeymadnessii	all:npc.tortured_gorilla.7095	ALL	npc.tortured_gorilla.7095	OSRS Wiki: Monkey Madness II; Tortured gorilla
Mountaindaughter	all:npc.the_kendal.1377	ALL	npc.the_kendal.1377	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Mourningsendparti	all:npc.mourner.8844	ALL	npc.mourner.8844	OSRS Wiki: Biohazard; Mourning's End Part I; Mourner
Myarmsbigadventure	all:npc.giant_roc.763	ALL	npc.giant_roc.763	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / Wiki-aligned quest identity
Naturespirit	all:npc.ghast.946	ALL	npc.ghast.946	OSRS Wiki: Nature Spirit
Observatoryquest	all:npc.goblin_guard.5369	ALL	npc.goblin_guard.5369	OSRS Wiki: Observatory Quest; Goblin guard; pinned RuneLite cache family 5369
Olafsquest	all:npc.ulfric.4500	ALL	npc.ulfric.4500	OSRS Wiki: Olaf's Quest
Onesmallfavour	all:npc.slagilith.1362	ALL	npc.slagilith.1362	Quest Helper NPC review: pinned commit 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Perilousmoon	all:npc.blood_moon.13011	ALL	npc.blood_moon.13011	OSRS Wiki: Perilous Moons
Perilousmoon	all:npc.blue_moon.13013	ALL	npc.blue_moon.13013	OSRS Wiki: Perilous Moons
Perilousmoon	all:npc.eclipse_moon.13012	ALL	npc.eclipse_moon.13012	OSRS Wiki: Perilous Moons
Perilousmoon	all:npc.sulphur_nagua.12879	ALL	npc.sulphur_nagua.12879	OSRS Wiki: Perilous Moons
Priestinperil	all:npc.monk_of_zamorak.527	ALL	npc.monk_of_zamorak.527	OSRS Wiki: Priest in Peril
Priestinperil	all:npc.temple_guardian.7620	ALL	npc.temple_guardian.7620	OSRS Wiki: Priest in Peril; The Enchanted Key
Ragandboneman	all:npc.baby_blue_dragon.241	ALL	npc.baby_blue_dragon.241	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
Ragandboneman	all:npc.basilisk.417	ALL	npc.basilisk.417	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
Ragandboneman	all:npc.bat.2827	ALL	npc.bat.2827	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
Ragandboneman	all:npc.cave_goblin.6434	ALL	npc.cave_goblin.6434	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
Ragandboneman	all:npc.dagannoth.140	ALL	npc.dagannoth.140	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
Ragandboneman	all:npc.experiment.1273	ALL	npc.experiment.1273	OSRS Wiki: Creature of Fenkenstrain; Experiment; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
Ragandboneman	all:npc.fire_giant.2075	ALL	npc.fire_giant.2075	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
Ragandboneman	all:npc.ghoul.289	ALL	npc.ghoul.289	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
Ragandboneman	all:npc.ice_giant.2085	ALL	npc.ice_giant.2085	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
Ragandboneman	all:npc.jackal.4185	ALL	npc.jackal.4185	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
Ragandboneman	all:npc.jogre.2094	ALL	npc.jogre.2094	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
Ragandboneman	all:npc.lizard.458	ALL	npc.lizard.458	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
Ragandboneman	all:npc.mogre.2592	ALL	npc.mogre.2592	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
Ragandboneman	all:npc.moss_giant.2090	ALL	npc.moss_giant.2090	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
Ragandboneman	all:npc.ogre.136	ALL	npc.ogre.136	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
Ragandboneman	all:npc.rabbit.1852	ALL	npc.rabbit.1852	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
Ragandboneman	all:npc.rat.2492	ALL	npc.rat.2492	OSRS Wiki: Witch's Potion; Rat's tail; pinned RuneLite cache family 2492; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: Rag and Bone Man II
