card_id	examine_text	source	reference
item.adamant_brutal.4798	Blunt adamantite arrow... ouch.	Old School RuneScape Wiki	Adamant brutal; revision 15185082; canonical ID 4798
item.adamant_cane.12377	A diamond topped cane.	Old School RuneScape Wiki	Adamant cane; revision 15273844; canonical ID 12377
item.adamant_cannonball.31912	Ammo suited for a boat's cannon.	Pinned RuneLite OSRS cache	build 239; item ID 31912
item.adamant_chainshot_cannonball.31926	Ammo suited for a boat's cannon.	Pinned RuneLite OSRS cache	build 239; item ID 31926
item.adamant_claws.3100	A set of fighting claws.	Old School RuneScape Wiki	Adamant claws; revision 15182715; canonical ID 3100
item.adamant_crossbow.9183	An adamantite crossbow.	Old School RuneScape Wiki	Adamant crossbow; revision 15242610; canonical ID 9183
item.adamant_crossbow_u.9463	An unstrung adamantite crossbow.	Pinned RuneLite OSRS cache	build 239; item ID 9463
item.adamant_dart.810	A deadly throwing dart with an adamant tip.	Old School RuneScape Wiki	Adamant dart; revision 15182718; canonical ID 810
item.adamant_dart_tip.823	A deadly-looking dart tip made of adamant - needs feathers for flight.	Pinned RuneLite OSRS cache	build 239; item ID 823
item.adamant_defender.8849	A defensive weapon.	Old School RuneScape Wiki	Adamant defender; revision 15260284; canonical ID 8849
item.adamant_dragon_mask.23270	Do I look scary?	Old School RuneScape Wiki	Adamant dragon mask; revision 15189221; canonical ID 23270
item.adamant_felling_axe.28211	A powerful felling axe.	Old School RuneScape Wiki	Adamant felling axe; revision 15191391; canonical ID 28211
item.adamant_fire_arrow.2538	Arrows with adamant heads wrapped in oily cloth.	Old School RuneScape Wiki	Adamant fire arrow; revision 15242608; canonical ID 2538
item.adamant_gloves.7459	A pair of nice gloves.	Old School RuneScape Wiki	Adamant gloves; revision 15213297; canonical ID 7459
item.adamant_gold_trimmed_set_lg.13020	A set containing a full helm, platebody, legs and kiteshield.	Pinned RuneLite OSRS cache	build 239; item ID 13020
item.adamant_gold_trimmed_set_sk.13022	A set containing a full helm, platebody, skirt and kiteshield.	Pinned RuneLite OSRS cache	build 239; item ID 13022
item.adamant_halberd.3200	An adamant halberd.	Old School RuneScape Wiki	Adamant halberd; revision 15182723; canonical ID 3200
item.adamant_hasta.11375	An adamant-tipped, one-handed hasta.	Old School RuneScape Wiki	Adamant hasta; revision 15182724; canonical ID 11375
item.adamant_heraldic_helm.22159	The colours represent the symbol of Arrav.	Old School RuneScape Wiki	Adamant heraldic helm (Arrav); revision 15188678; verified ID 22159
item.adamant_incendiary_cannonball.31940	Ammo suited for a boat's cannon.	Pinned RuneLite OSRS cache	build 239; item ID 31940
item.adamant_javelin.829	An adamant tipped javelin.	Old School RuneScape Wiki	Adamant javelin; revision 15182726; canonical ID 829
item.adamant_javelin_tips.19578	Needs a shaft.	Pinned RuneLite OSRS cache	build 239; item ID 19578
item.adamant_keel_parts.32011	Parts for creating an adamant keel for a boat.	Pinned RuneLite OSRS cache	build 239; item ID 32011
item.adamant_knife.867	A finely balanced throwing knife.	Old School RuneScape Wiki	Adamant knife; revision 15182731; canonical ID 867
item.adamant_med_helm.1145	A medium sized helmet.	Old School RuneScape Wiki	Adamant med helm; revision 15183738; canonical ID 1145
item.adamant_pickaxe.1271	Used for mining.	Old School RuneScape Wiki	Adamant pickaxe; revision 15242617; canonical ID 1271
item.adamant_plateskirt.1091	Designer leg protection.	Old School RuneScape Wiki	Adamant plateskirt; revision 15182740; canonical ID 1091
item.adamant_seeds.29458	Magical seeds in an adamant case.	Old School RuneScape Wiki	Adamant seeds; revision 15192290; canonical ID 29458
item.adamant_set_lg.13012	A set containing a full helm, platebody, legs and kiteshield.	Pinned RuneLite OSRS cache	build 239; item ID 13012
item.adamant_set_sk.13014	A set containing a full helm, platebody, skirt and kiteshield.	Pinned RuneLite OSRS cache	build 239; item ID 13014
item.adamant_spear.1245	An adamantite tipped spear.	Old School RuneScape Wiki	Adamant spear; revision 15182745; canonical ID 1245
item.adamant_staff_of_collection.30607	A staff of collection, adamant tier.	Old School RuneScape Wiki	Adamant staff of collection; revision 15245740; canonical ID 30607
item.adamant_thrownaxe.804	A finely balanced throwing axe.	Old School RuneScape Wiki	Adamant thrownaxe; revision 15271376; canonical ID 804
item.adamant_trimmed_set_lg.13016	A set containing a full helm, platebody, legs and kiteshield.	Pinned RuneLite OSRS cache	build 239; item ID 13016
item.adamant_trimmed_set_sk.13018	A set containing a full helm, platebody, skirt and kiteshield.	Pinned RuneLite OSRS cache	build 239; item ID 13018
item.adamant_warhammer.1345	I don't think it's intended for joinery.	Old School RuneScape Wiki	Adamant warhammer; revision 15242600; canonical ID 1345
item.adamantite-bar	It's a bar of adamantite.	Old School RuneScape Wiki	Adamantite bar; revision 15242615; canonical ID 2361
item.adamantite-ore	This needs refining.	Old School RuneScape Wiki	Adamantite ore; revision 15242616; canonical ID 449
item.adamantite_limbs.9429	A pair of adamantite crossbow limbs.	Pinned RuneLite OSRS cache	build 239; item ID 9429
item.adamantite_nails.4823	Keeps things in place fairly permanently.	Old School RuneScape Wiki	Adamantite nails; revision 15182666; canonical ID 4823
item.adamantite_ore_fragment.21537	A broken up piece of Adamantite ore.	Old School RuneScape Wiki	Adamantite ore fragment; revision 15188483; canonical ID 21537
item.admiral_pie.7198	Much tastier than a normal fish pie.	Old School RuneScape Wiki	Admiral pie; revision 15227370; canonical ID 7198
item.adventurer_s_boots_t1.27394	The boots of an adventurer.	Old School RuneScape Wiki	Adventurer's boots (t1); revision 15191071; canonical ID 27394
item.adventurer_s_boots_t2.27402	The boots of an adventurer.	Old School RuneScape Wiki	Adventurer's boots (t2); revision 15191072; canonical ID 27402
item.adventurer_s_boots_t3.27410	The boots of an adventurer.	Old School RuneScape Wiki	Adventurer's boots (t3); revision 15191073; canonical ID 27410
item.adventurer_s_cape.27442	The cape of an adventurer.	Old School RuneScape Wiki	Adventurer's cape; revision 15238877; canonical ID 27442
item.adventurer_s_hood_t1.27392	The headgear of an adventurer.	Old School RuneScape Wiki	Adventurer's hood (t1); revision 15191074; canonical ID 27392
item.adventurer_s_hood_t2.27400	The headgear of an adventurer.	Old School RuneScape Wiki	Adventurer's hood (t2); revision 15191075; canonical ID 27400
item.adventurer_s_hood_t3.27408	The headgear of an adventurer.	Old School RuneScape Wiki	Adventurer's hood (t3); revision 15191076; canonical ID 27408
item.adventurer_s_top_t1.27388	The clothing of an adventurer.	Old School RuneScape Wiki	Adventurer's top (t1); revision 15191077; canonical ID 27388
item.adventurer_s_top_t2.27396	The clothing of an adventurer.	Old School RuneScape Wiki	Adventurer's top (t2); revision 15191078; canonical ID 27396
item.adventurer_s_top_t3.27404	The clothing of an adventurer.	Old School RuneScape Wiki	Adventurer's top (t3); revision 15191079; canonical ID 27404
item.adventurer_s_trousers_t1.27390	The clothing of an adventurer.	Old School RuneScape Wiki	Adventurer's trousers (t1); revision 15191080; canonical ID 27390
item.adventurer_s_trousers_t2.27398	The clothing of an adventurer.	Old School RuneScape Wiki	Adventurer's trousers (t2); revision 15191081; canonical ID 27398
item.adventurer_s_trousers_t3.27406	The clothing of an adventurer.	Old School RuneScape Wiki	Adventurer's trousers (t3); revision 15191082; canonical ID 27406
item.adventurer_s_vambraces.27412	The vambraces of an adventurer.	Old School RuneScape Wiki	Adventurer's vambraces; revision 15191083; canonical ID 27412
item.aether_catalyst.30771	A piece of the cosmos' soul? Or souls belonging to the cosmos?	Pinned RuneLite OSRS cache	build 239; item ID 30771
item.aether_rune.30843	A combined cosmic and soul rune.	Pinned RuneLite OSRS cache	build 239; item ID 30843
item.afro.12430	Wild!	Old School RuneScape Wiki	Afro; revision 15185993; canonical ID 12430
item.agility_cape.9771	The cape worn by the most agile of heroes.	Old School RuneScape Wiki	Agility cape; revision 15248057; canonical ID 9771
item.agility_hood.9773	Agility skillcape hood.	Old School RuneScape Wiki	Agility hood; revision 15185240; canonical ID 9773
item.agility_mix.11463	One dose of fishy Agility potion.	Old School RuneScape Wiki	Agility mix(1); revision 15182638; canonical ID 11463
item.agility_potion.3038	1 dose of Agility potion.	Old School RuneScape Wiki	Agility potion(1); revision 15250405; canonical ID 3038
item.ahrim_s_armour_set.12881	A set containing an Ahrim's hood, robetop, robeskirt and staff.	Pinned RuneLite OSRS cache	build 239; item ID 12881
item.ahrim_s_hood.4708	Ahrim the Blighted's leather hood.	Old School RuneScape Wiki	Ahrim's hood; revision 15182751; canonical ID 4708
item.ahrim_s_robeskirt.4714	Ahrim the Blighted's armoured robe skirt.	Old School RuneScape Wiki	Ahrim's robeskirt; revision 15208091; canonical ID 4714
item.ahrim_s_robetop.4712	Ahrim the Blighted's armoured robe top.	Old School RuneScape Wiki	Ahrim's robetop; revision 15184391; canonical ID 4712
item.ahrim_s_staff.4710	Ahrim the Blighted's quarterstaff.	Old School RuneScape Wiki	Ahrim's staff; revision 15238422; canonical ID 4710
item.air-rune	One of the 4 basic elemental Runes.	Old School RuneScape Wiki	Air rune; revision 15182633; canonical ID 556
item.air_battlestaff.1397	It's a slightly magical stick.	Old School RuneScape Wiki	Air battlestaff; revision 15182754; canonical ID 1397
item.air_orb.573	A magic glowing orb.	Pinned RuneLite OSRS cache	build 239; item ID 573
item.air_talisman.1438	A mysterious power emanates from the talisman...	Old School RuneScape Wiki	Air talisman; revision 15182670; canonical ID 1438
item.air_tiara.5527	A tiara infused with the properties of air.	Old School RuneScape Wiki	Air tiara; revision 15182755; canonical ID 5527
item.airtight_pot.4436	This is pretty well sealed.	Pinned RuneLite OSRS cache	build 239; item ID 4436
item.alan_s_blessed_bones.31075	Bones blessed at an exposed altar.	Old School RuneScape Wiki	Alan's blessed bones; revision 15194013; canonical ID 31075
item.alan_s_bonemeal.30975	A pot of Alan's crushed bones.	Old School RuneScape Wiki	Alan's bonemeal; revision 15193999; canonical ID 30975
item.alan_s_bones.30973	RIP.	Old School RuneScape Wiki	Alan's bones; revision 15238879; canonical ID 30973
item.albatross_feather.32826	The feather of an albatross.	Old School RuneScape Wiki	Albatross feather; revision 15239633; canonical ID 32826
item.alchemist_gloves.29986	No science is done without proper gloves.	Old School RuneScape Wiki	Alchemist gloves; revision 15238882; canonical ID 29986
item.alchemist_labcoat.29978	Grants the wearer +10 IQ.	Old School RuneScape Wiki	Alchemist labcoat; revision 15238880; canonical ID 29978
item.alchemist_pants.29982	Breezy.	Old School RuneScape Wiki	Alchemist pants; revision 15238881; canonical ID 29982
item.alchemist_s_amulet.29988	Useful when making potions - has the chance of giving an extra dose.	Old School RuneScape Wiki	Alchemist's amulet; revision 15215031; canonical ID 29988
item.aldarin_teleport.30149	This tablet has been redirected to the Aldarin portal.	Old School RuneScape Wiki	Aldarin teleport; revision 15192719; canonical ID 30149
item.aldarium.29993	A special alchemical ingredient used for creating potions.	Pinned RuneLite OSRS cache	build 239; item ID 29993
item.ale_of_the_gods.20056	Ale of the gods.	Old School RuneScape Wiki	Ale of the gods; revision 15187678; canonical ID 20056
item.ale_yeast.5767	A pot filled with ale yeast.	Pinned RuneLite OSRS cache	build 239; item ID 5767
item.amethyst.21347	Maybe I can make something with this.	Pinned RuneLite OSRS cache	build 239; item ID 21347
item.amethyst_arrow.21326	Arrows with amethyst heads.	Old School RuneScape Wiki	Amethyst arrow; revision 15188380; canonical ID 21326
item.amethyst_arrowtips.21350	I can make some arrows with these.	Old School RuneScape Wiki	Amethyst arrowtips; revision 15188379; canonical ID 21350
item.amethyst_bolt_tips.21338	Amethyst bolt tips.	Old School RuneScape Wiki	Amethyst bolt tips; revision 15188376; canonical ID 21338
item.amethyst_broad_bolts.21316	Crossbow bolts with amethyst broad tips.	Old School RuneScape Wiki	Amethyst broad bolts; revision 15267398; canonical ID 21316
item.amethyst_dart.25849	A deadly throwing dart with an amethyst tip.	Old School RuneScape Wiki	Amethyst dart; revision 15190256; canonical ID 25849
item.amethyst_dart_tip.25853	A deadly-looking dart tip made of amethyst - needs feathers for flight.	Pinned RuneLite OSRS cache	build 239; item ID 25853
item.amethyst_fire_arrow.21328	Arrows with amethyst heads wrapped in oily cloth.	Old School RuneScape Wiki	Amethyst fire arrow; revision 15188381; canonical ID 21328
item.amethyst_javelin.21318	An amethyst tipped javelin.	Old School RuneScape Wiki	Amethyst javelin; revision 15188382; canonical ID 21318
item.amethyst_javelin_tips.21352	Needs a shaft.	Pinned RuneLite OSRS cache	build 239; item ID 21352
item.ammo_mould.4	Used to make cannon ammunition.	Old School RuneScape Wiki	Ammo mould; revision 15207157; canonical ID 4
item.amulet-of-accuracy	It increases my aim.	Old School RuneScape Wiki	Amulet of accuracy; revision 15240538; canonical ID 1478
item.amulet-of-defence	An enchanted emerald amulet of protection.	Old School RuneScape Wiki	Amulet of defence; revision 15240534; canonical ID 1729
item.amulet-of-magic	An enchanted sapphire amulet of magic.	Old School RuneScape Wiki	Amulet of magic; revision 15182763; canonical ID 1727
item.amulet-of-strength	An enchanted ruby amulet.	Old School RuneScape Wiki	Amulet of strength; revision 15247704; canonical ID 1725
item.amulet_mould.1595	Used to make amulets.	Old School RuneScape Wiki	Amulet mould; revision 15182677; canonical ID 1595
item.amulet_of_avarice.22557	A hauntingly beautiful amulet bearing the shape of a skull.	Old School RuneScape Wiki	Amulet of avarice; revision 15188943; canonical ID 22557
item.amulet_of_blood_fury.24780	A very powerful onyx amulet, imbued with blood magic.	Old School RuneScape Wiki	Amulet of blood fury; revision 15264445; canonical ID 24780
item.amulet_of_bounty.21160	Saves seeds when planting in allotments.	Old School RuneScape Wiki	Amulet of bounty; revision 15188192; canonical ID 21160
item.amulet_of_chemistry.21163	Useful when making potions - has the chance of giving an extra dose.	Old School RuneScape Wiki	Amulet of chemistry; revision 15188193; canonical ID 21163
item.amulet_of_eternal_glory.19707	A dragonstone amulet with an unlimited supply of magic charges.	Old School RuneScape Wiki	Amulet of eternal glory; revision 15244819; canonical ID 19707
item.amulet_of_fury.6585	A very powerful onyx amulet.	Old School RuneScape Wiki	Amulet of fury; revision 15196129; canonical ID 6585
item.amulet_of_glory.1704	A very powerful dragonstone amulet.	Old School RuneScape Wiki	Amulet of glory; revision 15234927; canonical ID 1704
item.amulet_of_nature.6040	An Amulet of Nature.	Old School RuneScape Wiki	Amulet of nature; revision 15267201; canonical ID 6040
item.amulet_of_power.1731	An enchanted diamond amulet of power.	Old School RuneScape Wiki	Amulet of power; revision 15182767; canonical ID 1731
item.amulet_of_rancour.29801	A very powerful zenyte amulet, infused with araxyte venom.	Old School RuneScape Wiki	Amulet of rancour; revision 15259808; canonical ID 29801
item.amulet_of_rancour_s.29804	A very powerful zenyte amulet, infused with araxyte venom.	Old School RuneScape Wiki	Amulet of rancour (s); revision 15276585; canonical ID 29804
item.amulet_of_the_damned.12853	Heirloom of an ancient family of Morytania.	Old School RuneScape Wiki	Amulet of the damned; revision 15211394; canonical ID 12853
item.amulet_of_the_eye.26914	An amulet in the shape of an eye.	Old School RuneScape Wiki	Amulet of the eye; revision 15190860; canonical ID 26914
item.amulet_of_torture.19553	A deep sense of torture burns within this powerful amulet.	Old School RuneScape Wiki	Amulet of torture; revision 15187468; canonical ID 19553
item.amy_s_saw.24880	She saw scope for improvement.	Old School RuneScape Wiki	Amy's saw; revision 15189849; canonical ID 24880
item.amy_s_saw_off_hand.29774	She saw scope for improvement.	Old School RuneScape Wiki	Amy's saw (off-hand); revision 15192606; canonical ID 29774
item.amylase_crystal.12640	Good for enhancing a super energy potion.	Pinned RuneLite OSRS cache	build 239; item ID 12640
item.ana_in_a_barrel.1842	A mining barrel with Ana in it.	Old School RuneScape Wiki	Ana in a barrel; revision 15238258; canonical ID 1842
item.ancestral_hat.21018	The hat of a powerful sorceress from a bygone era.	Old School RuneScape Wiki	Ancestral hat; revision 15188076; canonical ID 21018
item.ancestral_robe_bottom.21024	The robe bottoms of a powerful sorceress from a bygone era.	Old School RuneScape Wiki	Ancestral robe bottom; revision 15188078; canonical ID 21024
item.ancestral_robe_top.21021	The robe top of a powerful sorceress from a bygone era.	Old School RuneScape Wiki	Ancestral robe top; revision 15188077; canonical ID 21021
item.ancestral_robes_set.21049	A set containing an Ancestral hat, robe top and robe bottom.	Pinned RuneLite OSRS cache	build 239; item ID 21049
item.anchovies	Some nicely cooked anchovies.	Old School RuneScape Wiki	Anchovies; revision 15182684; canonical ID 319
item.anchovy_oil.11264	Omega 3 oil. Good for the brain, not so for the nose.	Old School RuneScape Wiki	Anchovy oil; revision 15186565; canonical ID 11264
item.anchovy_pizza.2297	A pizza with anchovies.	Old School RuneScape Wiki	Anchovy pizza; revision 15182680; canonical ID 2297
item.ancient_blessing.20235	The misery that is now upon us is but the passing of greed, the bitterness of those who fear the way of progress.	Old School RuneScape Wiki	Ancient blessing; revision 15252873; canonical ID 20235
item.ancient_bracers.12490	Ancient blessed dragonhide vambraces.	Old School RuneScape Wiki	Ancient bracers; revision 15186051; canonical ID 12490
item.ancient_brew.26346	1 dose of ancient brew.	Old School RuneScape Wiki	Ancient brew(1); revision 15190634; canonical ID 26346
item.ancient_ceremonial_boots.26229	Some ceremonial boots dedicated to an ancient god.	Old School RuneScape Wiki	Ancient ceremonial boots; revision 15190620; canonical ID 26229
item.ancient_ceremonial_gloves.26227	Some ceremonial gloves dedicated to an ancient god.	Old School RuneScape Wiki	Ancient ceremonial gloves; revision 15190619; canonical ID 26227
item.ancient_ceremonial_legs.26223	Some ceremonial robes dedicated to an ancient god.	Old School RuneScape Wiki	Ancient ceremonial legs; revision 15190618; canonical ID 26223
item.ancient_ceremonial_mask.26225	A ceremonial mask dedicated to an ancient god.	Old School RuneScape Wiki	Ancient ceremonial mask; revision 15190616; canonical ID 26225
item.ancient_ceremonial_top.26221	Some ceremonial robes dedicated to an ancient god.	Old School RuneScape Wiki	Ancient ceremonial top; revision 15190617; canonical ID 26221
item.ancient_chaps.12494	Ancient blessed dragonhide chaps.	Old School RuneScape Wiki	Ancient chaps; revision 15186052; canonical ID 12494
item.ancient_cloak.12197	An Ancient cloak.	Old School RuneScape Wiki	Ancient cloak; revision 15186100; canonical ID 12197
item.ancient_coif.12496	Ancient blessed dragonhide coif.	Old School RuneScape Wiki	Ancient coif; revision 15186030; canonical ID 12496
item.ancient_crozier.12199	An Ancient crozier.	Old School RuneScape Wiki	Ancient crozier; revision 15186101; canonical ID 12199
item.ancient_crystal.21804	An ancient crystal containing magical energy.	Pinned RuneLite OSRS cache	build 239; item ID 21804
item.ancient_d_hide_body.12492	Ancient blessed dragonhide body armour.	Old School RuneScape Wiki	Ancient d'hide body; revision 15186053; canonical ID 12492
